,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,2.499,2.297,-0.153,9.168,,,,,,
,,2.519,2.316,-0.230,9.207,,,,,,
,,2.540,2.436,-0.225,9.168,,,,,,
,,2.560,2.503,-0.273,9.173,,,,,,
,,2.580,2.579,-0.325,9.149,,,,,,
,,2.601,2.598,-0.268,9.116,,,,,,
,,2.621,2.622,-0.239,9.192,,,,,,
,,2.641,2.665,-0.268,9.202,,,,,,
,,2.662,2.641,-0.182,9.149,,,,,,
,,2.682,2.732,-0.129,9.116,,,,,,
,,2.703,2.699,-0.249,9.140,,,,,,
,,2.723,2.570,-0.345,9.173,,,,,,
,,2.743,2.651,-0.388,9.125,,,,,,
,,2.764,2.641,-0.455,9.140,,,,,,
,,2.784,2.546,-0.531,9.159,,,,,,
,,2.804,2.570,-0.627,9.168,,,,,,
,,2.825,2.531,-0.651,9.183,,,,,,
,,2.845,2.426,-0.584,9.192,,,,,,
,,2.866,2.460,-0.632,9.216,,,,,,
,,2.886,2.445,-0.684,9.202,,,,,,
,,2.906,2.373,-0.627,9.140,,,,,,
,,2.927,2.393,-0.627,9.130,,,,,,
,,2.947,2.340,-0.665,9.168,,,,,,
,,2.967,2.239,-0.708,9.168,,,,,,
,,2.988,2.101,-0.737,9.226,,,,,,
,,3.008,2.144,-0.785,9.168,,,,,,
,,3.029,2.239,-0.823,9.049,,,,,,
,,3.049,2.091,-0.761,9.149,,,,,,
,,3.069,2.129,-0.727,9.168,,,,,,
,,3.090,2.249,-0.703,9.097,,,,,,
,,3.110,2.120,-0.565,9.183,,,,,,
,,3.130,2.067,-0.479,9.259,,,,,,
,,3.151,2.086,-0.574,9.173,,,,,,
,,3.171,2.067,-0.574,9.116,,,,,,
,,3.192,2.110,-0.445,9.192,,,,,,
,,3.212,2.134,-0.359,9.207,,,,,,
,,3.232,2.091,-0.225,9.173,,,,,,
,,3.253,2.091,-0.239,9.226,,,,,,
,,3.273,2.129,-0.402,9.245,,,,,,
,,3.293,2.134,-0.335,9.202,,,,,,
,,3.314,2.172,-0.215,9.106,,,,,,
,,3.334,2.249,-0.249,9.149,,,,,,
,,3.355,2.330,-0.215,9.226,,,,,,
,,3.375,2.350,-0.182,9.130,,,,,,
,,3.395,2.373,-0.249,9.130,,,,,,
