,,,,,,,,,,,
nSamples,,,,,,,deltaT 10 rots,,,,
1517,,,,,,,8.4,,,,
,,,,,,,,,,,
duration (s),,Time (s),Acceleration (m/s2),,,,T,,,,
30.340,,t ,x,y ,z,,0.84,,,,
,,10.811,2.838,-0.230,9.006,,,,,,
,,10.831,2.732,-0.306,9.302,,,,,,
,,10.852,2.708,-0.359,9.259,,,,,,
,,10.872,2.775,-0.435,8.987,,,,,,
,,10.893,2.665,-0.522,9.278,,,,,,
,,10.913,2.598,-0.584,9.345,,,,,,
,,10.933,2.699,-0.627,8.996,,,,,,
,,10.954,2.613,-0.718,9.116,,,,,,
,,10.974,2.579,-0.785,9.355,,,,,,
,,10.994,2.641,-0.684,9.106,,,,,,
,,11.015,2.522,-0.665,9.159,,,,,,
,,11.035,2.546,-0.727,9.365,,,,,,
,,11.056,2.622,-0.703,9.054,,,,,,
,,11.076,2.546,-0.751,9.039,,,,,,
,,11.097,2.445,-0.785,9.345,,,,,,
,,11.117,2.369,-0.761,9.159,,,,,,
,,11.137,2.373,-0.780,8.987,,,,,,
,,11.158,2.359,-0.837,9.293,,,,,,
,,11.178,2.369,-0.871,9.336,,,,,,
,,11.198,2.469,-0.770,8.996,,,,,,
,,11.219,2.479,-0.708,9.063,,,,,,
,,11.239,2.373,-0.761,9.388,,,,,,
,,11.260,2.292,-0.665,9.398,,,,,,
,,11.280,2.417,-0.598,9.226,,,,,,
,,11.300,2.512,-0.546,9.020,,,,,,
,,11.321,2.460,-0.378,8.891,,,,,,
,,11.341,2.479,-0.392,8.987,,,,,,
,,11.361,2.493,-0.479,9.173,,,,,,
,,11.382,2.426,-0.435,9.336,,,,,,
,,11.402,2.460,-0.368,9.422,,,,,,
,,11.423,2.622,-0.325,9.326,,,,,,
,,11.443,2.684,-0.249,9.006,,,,,,
,,11.463,2.751,-0.148,8.876,,,,,,
,,11.484,2.804,-0.148,9.030,,,,,,
,,11.504,2.751,-0.196,9.020,,,,,,
,,11.524,2.818,-0.239,9.097,,,,,,
,,11.545,2.871,-0.282,9.278,,,,,,
,,11.565,2.847,-0.268,9.250,,,,,,
,,11.586,2.924,-0.282,9.345,,,,,,
,,11.606,3.005,-0.306,9.455,,,,,,
,,11.626,3.000,-0.239,9.369,,,,,,
,,11.647,2.967,-0.239,9.321,,,,,,
,,11.667,2.972,-0.306,9.269,,,,,,
,,11.687,3.005,-0.316,9.130,,,,,,
,,11.708,2.967,-0.292,9.020,,,,,,
,,11.728,2.914,-0.412,8.934,,,,,,
,,11.749,2.914,-0.531,9.116,,,,,,
,,11.769,2.775,-0.531,9.398,,,,,,
,,11.789,2.718,-0.617,9.398,,,,,,
,,11.810,2.809,-0.703,9.259,,,,,,
,,11.830,2.775,-0.694,9.082,,,,,,
,,11.850,2.699,-0.708,8.967,,,,,,
,,11.871,2.656,-0.703,9.173,,,,,,
,,11.891,2.622,-0.651,9.422,,,,,,
,,11.911,2.531,-0.737,9.365,,,,,,
,,11.932,2.493,-0.804,9.202,,,,,,
,,11.952,2.598,-0.703,9.039,,,,,,
,,11.973,2.536,-0.703,8.996,,,,,,
,,11.993,2.383,-0.857,9.216,,,,,,
,,12.013,2.393,-0.890,9.365,,,,,,
,,12.034,2.436,-0.866,9.302,,,,,,
,,12.054,2.436,-0.794,9.149,,,,,,
,,12.074,2.469,-0.651,9.020,,,,,,
,,12.095,2.469,-0.555,9.010,,,,,,
,,12.115,2.488,-0.589,9.087,,,,,,
,,12.135,2.536,-0.555,9.125,,,,,,
,,12.156,2.536,-0.412,9.140,,,,,,
,,12.176,2.536,-0.359,9.159,,,,,,
,,12.196,2.579,-0.359,9.183,,,,,,
,,12.217,2.622,-0.345,9.168,,,,,,
,,12.237,2.613,-0.306,9.168,,,,,,
,,12.258,2.665,-0.268,9.288,,,,,,
,,12.278,2.775,-0.230,9.192,,,,,,
,,12.298,2.771,-0.153,9.116,,,,,,
,,12.319,2.699,-0.086,9.288,,,,,,
,,12.339,2.742,-0.163,9.336,,,,,,
,,12.359,2.809,-0.273,9.288,,,,,,
,,12.380,2.742,-0.239,9.245,,,,,,
,,12.400,2.785,-0.306,9.336,,,,,,
,,12.421,2.929,-0.359,9.465,,,,,,
,,12.441,2.929,-0.249,9.408,,,,,,
,,12.461,2.972,-0.258,9.369,,,,,,
,,12.482,3.005,-0.301,9.412,,,,,,
,,12.502,2.938,-0.268,9.278,,,,,,
,,12.522,2.905,-0.258,9.168,,,,,,
,,12.543,2.948,-0.273,9.183,,,,,,
,,12.563,2.957,-0.306,9.049,,,,,,
,,12.584,2.881,-0.392,8.910,,,,,,
,,12.604,2.809,-0.507,9.073,,,,,,
,,12.624,2.775,-0.574,9.250,,,,,,
,,12.645,2.751,-0.694,9.278,,,,,,
,,12.665,2.718,-0.828,9.312,,,,,,
,,12.685,2.656,-0.770,9.259,,,,,,
,,12.706,2.656,-0.660,9.125,,,,,,
,,12.726,2.699,-0.737,9.039,,,,,,
,,12.747,2.598,-0.804,9.082,,,,,,
,,12.767,2.512,-0.727,9.235,,,,,,
,,12.787,2.503,-0.727,9.250,,,,,,
,,12.808,2.493,-0.746,9.226,,,,,,
,,12.828,2.450,-0.751,9.207,,,,,,
,,12.848,2.426,-0.761,9.082,,,,,,
,,12.869,2.488,-0.761,9.073,,,,,,
,,12.889,2.488,-0.823,9.250,,,,,,
,,12.909,2.383,-0.746,9.321,,,,,,
,,12.930,2.340,-0.608,9.293,,,,,,
,,12.950,2.383,-0.608,9.278,,,,,,
,,12.971,2.316,-0.531,9.269,,,,,,
,,12.991,2.340,-0.421,9.250,,,,,,
,,13.011,2.445,-0.388,9.278,,,,,,
,,13.032,2.383,-0.359,9.278,,,,,,
,,13.052,2.460,-0.335,9.226,,,,,,
,,13.072,2.522,-0.268,9.278,,,,,,
,,13.093,2.488,-0.292,9.269,,,,,,
,,13.113,2.632,-0.335,9.168,,,,,,
,,13.134,2.751,-0.215,9.082,,,,,,
,,13.154,2.732,-0.148,8.977,,,,,,
,,13.174,2.775,-0.139,8.977,,,,,,
,,13.195,2.838,-0.110,8.876,,,,,,
,,13.215,2.852,-0.172,8.833,,,,,,
,,13.235,2.948,-0.230,9.073,,,,,,
,,13.256,2.929,-0.206,9.125,,,,,,
,,13.276,2.885,-0.301,9.082,,,,,,
,,13.297,2.981,-0.359,9.140,,,,,,
,,13.317,3.015,-0.268,9.159,,,,,,
,,13.337,3.034,-0.249,9.235,,,,,,
,,13.358,3.043,-0.306,9.365,,,,,,
,,13.378,2.938,-0.388,9.422,,,,,,
,,13.398,2.795,-0.388,9.336,,,,,,
,,13.419,2.852,-0.359,9.106,,,,,,
,,13.439,2.948,-0.435,8.963,,,,,,
,,13.460,2.818,-0.512,8.967,,,,,,
,,13.480,2.775,-0.608,9.130,,,,,,
,,13.500,2.761,-0.708,9.326,,,,,,
,,13.521,2.608,-0.746,9.345,,,,,,
,,13.541,2.598,-0.727,9.250,,,,,,
,,13.561,2.689,-0.751,9.087,,,,,,
,,13.582,2.732,-0.718,9.006,,,,,,
,,13.602,2.589,-0.641,9.106,,,,,,
,,13.623,2.383,-0.751,9.192,,,,,,
,,13.643,2.436,-0.837,9.278,,,,,,
,,13.663,2.488,-0.837,9.336,,,,,,
,,13.684,2.436,-0.890,9.140,,,,,,
,,13.704,2.493,-0.804,8.953,,,,,,
,,13.724,2.546,-0.694,9.049,,,,,,
,,13.745,2.512,-0.770,9.130,,,,,,
,,13.765,2.460,-0.785,9.226,,,,,,
,,13.785,2.417,-0.651,9.355,,,,,,
,,13.806,2.369,-0.546,9.278,,,,,,
,,13.826,2.316,-0.498,9.192,,,,,,
,,13.847,2.326,-0.479,9.250,,,,,,
,,13.867,2.359,-0.498,9.345,,,,,,
,,13.887,2.402,-0.455,9.321,,,,,,
,,13.908,2.522,-0.445,9.250,,,,,,
,,13.928,2.536,-0.388,9.235,,,,,,
,,13.948,2.522,-0.273,9.173,,,,,,
,,13.969,2.651,-0.268,9.149,,,,,,
,,13.989,2.728,-0.268,9.125,,,,,,
,,14.010,2.771,-0.172,9.039,,,,,,
,,14.030,2.804,-0.086,9.020,,,,,,
,,14.050,2.804,-0.148,9.049,,,,,,
,,14.071,2.862,-0.196,9.030,,,,,,
,,14.091,2.938,-0.206,9.006,,,,,,
,,14.111,3.005,-0.268,9.063,,,,,,
,,14.132,3.005,-0.225,9.049,,,,,,
,,14.152,3.043,-0.187,8.953,,,,,,
,,14.173,3.101,-0.239,9.010,,,,,,
,,14.193,3.048,-0.230,9.049,,,,,,
,,14.213,3.005,-0.273,8.934,,,,,,
,,14.234,3.091,-0.306,8.790,,,,,,
,,14.254,3.134,-0.316,8.843,,,,,,
,,14.274,2.914,-0.435,8.987,,,,,,
,,14.295,2.771,-0.507,9.039,,,,,,
,,14.315,2.818,-0.584,9.063,,,,,,
,,14.335,2.847,-0.727,9.063,,,,,,
,,14.356,2.785,-0.866,9.207,,,,,,
,,14.376,2.684,-0.804,9.345,,,,,,
,,14.397,2.656,-0.675,9.369,,,,,,
,,14.417,2.641,-0.727,9.345,,,,,,
,,14.437,2.589,-0.780,9.345,,,,,,
,,14.458,2.555,-0.737,9.412,,,,,,
,,14.478,2.531,-0.737,9.355,,,,,,
,,14.498,2.503,-0.751,9.288,,,,,,
,,14.519,2.469,-0.804,9.202,,,,,,
,,14.539,2.546,-0.837,9.087,,,,,,
,,14.560,2.555,-0.751,9.106,,,,,,
,,14.580,2.493,-0.746,9.087,,,,,,
,,14.600,2.613,-0.770,9.010,,,,,,
,,14.621,2.675,-0.651,9.087,,,,,,
,,14.641,2.546,-0.541,9.202,,,,,,
,,14.661,2.450,-0.512,9.245,,,,,,
,,14.682,2.450,-0.455,9.235,,,,,,
,,14.702,2.469,-0.412,9.278,,,,,,
,,14.723,2.522,-0.464,9.336,,,,,,
,,14.743,2.656,-0.469,9.259,,,,,,
,,14.763,2.689,-0.368,9.149,,,,,,
,,14.784,2.675,-0.230,9.063,,,,,,
,,14.804,2.818,-0.172,8.996,,,,,,
,,14.824,2.847,-0.225,9.030,,,,,,
,,14.845,2.847,-0.163,9.125,,,,,,
,,14.865,2.967,-0.148,9.250,,,,,,
,,14.886,2.938,-0.249,9.336,,,,,,
,,14.906,2.885,-0.196,9.326,,,,,,
,,14.926,3.000,-0.273,9.235,,,,,,
,,14.947,3.110,-0.392,9.173,,,,,,
,,14.967,3.024,-0.316,9.106,,,,,,
,,14.987,3.067,-0.239,9.039,,,,,,
,,15.008,3.206,-0.215,9.049,,,,,,
,,15.028,3.134,-0.249,9.054,,,,,,
,,15.048,3.101,-0.316,9.097,,,,,,
,,15.069,3.101,-0.378,9.192,,,,,,
,,15.089,3.048,-0.555,9.207,,,,,,
,,15.110,3.024,-0.574,9.226,,,,,,
,,15.130,2.957,-0.522,9.278,,,,,,
,,15.150,2.881,-0.660,9.278,,,,,,
,,15.171,2.929,-0.780,9.259,,,,,,
,,15.191,2.885,-0.761,9.226,,,,,,
,,15.211,2.795,-0.737,9.216,,,,,,
,,15.232,2.838,-0.617,9.140,,,,,,
,,15.252,2.804,-0.627,9.087,,,,,,
,,15.273,2.699,-0.794,9.183,,,,,,
,,15.293,2.689,-0.780,9.226,,,,,,
,,15.313,2.613,-0.675,9.173,,,,,,
,,15.334,2.555,-0.751,9.116,,,,,,
,,15.354,2.641,-0.837,9.082,,,,,,
,,15.374,2.622,-0.837,9.010,,,,,,
,,15.395,2.589,-0.785,9.010,,,,,,
,,15.415,2.632,-0.684,9.106,,,,,,
,,15.435,2.608,-0.589,9.125,,,,,,
,,15.456,2.651,-0.522,9.082,,,,,,
,,15.476,2.622,-0.546,9.039,,,,,,
,,15.497,2.555,-0.522,9.039,,,,,,
,,15.517,2.570,-0.392,9.049,,,,,,
,,15.537,2.598,-0.378,9.125,,,,,,
,,15.558,2.632,-0.426,9.278,,,,,,
,,15.578,2.651,-0.378,9.269,,,,,,
,,15.598,2.689,-0.335,9.192,,,,,,
,,15.619,2.804,-0.301,9.173,,,,,,
,,15.639,2.838,-0.249,9.087,,,,,,
,,15.660,2.905,-0.230,8.963,,,,,,
,,15.680,3.024,-0.163,8.943,,,,,,
,,15.700,3.000,-0.139,8.996,,,,,,
,,15.721,3.015,-0.182,9.082,,,,,,
,,15.741,3.067,-0.282,9.202,,,,,,
,,15.761,3.015,-0.301,9.259,,,,,,
,,15.782,3.067,-0.225,9.321,,,,,,
,,15.802,3.086,-0.325,9.312,,,,,,
,,15.823,3.058,-0.368,9.140,,,,,,
,,15.843,3.125,-0.258,9.082,,,,,,
,,15.863,3.187,-0.316,9.082,,,,,,
,,15.884,3.168,-0.392,8.967,,,,,,
,,15.904,3.120,-0.345,8.900,,,,,,
,,15.924,3.144,-0.345,8.920,,,,,,
,,15.945,3.048,-0.392,8.953,,,,,,
,,15.965,2.885,-0.498,9.020,,,,,,
,,15.986,2.924,-0.651,9.010,,,,,,
,,16.006,2.881,-0.665,8.963,,,,,,
,,16.026,2.852,-0.627,9.030,,,,,,
,,16.047,2.905,-0.665,9.054,,,,,,
,,16.067,2.771,-0.675,9.030,,,,,,
,,16.087,2.742,-0.684,8.987,,,,,,
,,16.108,2.761,-0.737,9.020,,,,,,
,,16.128,2.651,-0.737,9.106,,,,,,
,,16.148,2.622,-0.780,9.054,,,,,,
,,16.169,2.665,-0.866,9.010,,,,,,
,,16.189,2.651,-0.880,9.049,,,,,,
,,16.210,2.589,-0.828,8.987,,,,,,
,,16.230,2.622,-0.708,9.030,,,,,,
,,16.250,2.684,-0.651,9.130,,,,,,
,,16.271,2.579,-0.598,9.020,,,,,,
,,16.291,2.546,-0.584,9.054,,,,,,
,,16.311,2.608,-0.565,9.168,,,,,,
,,16.332,2.536,-0.469,9.226,,,,,,
,,16.352,2.493,-0.469,9.345,,,,,,
,,16.373,2.598,-0.488,9.302,,,,,,
,,16.393,2.689,-0.412,9.149,,,,,,
,,16.413,2.761,-0.282,9.030,,,,,,
,,16.434,2.862,-0.215,9.039,,,,,,
,,16.454,2.862,-0.273,9.173,,,,,,
,,16.474,2.818,-0.316,9.321,,,,,,
,,16.495,2.828,-0.239,9.379,,,,,,
,,16.515,2.881,-0.153,9.226,,,,,,
,,16.535,2.981,-0.230,9.020,,,,,,
,,16.556,3.067,-0.292,9.049,,,,,,
,,16.576,3.101,-0.306,9.202,,,,,,
,,16.597,3.110,-0.345,9.235,,,,,,
,,16.617,3.163,-0.316,9.149,,,,,,
,,16.637,3.220,-0.335,9.073,,,,,,
,,16.658,3.263,-0.316,9.030,,,,,,
,,16.678,3.254,-0.306,9.063,,,,,,
,,16.698,3.134,-0.378,9.269,,,,,,
,,16.719,3.077,-0.426,9.365,,,,,,
,,16.739,3.091,-0.435,9.250,,,,,,
,,16.760,3.000,-0.426,9.269,,,,,,
,,16.780,2.914,-0.512,9.245,,,,,,
,,16.800,2.948,-0.675,9.140,,,,,,
,,16.821,2.948,-0.751,9.039,,,,,,
,,16.841,2.914,-0.694,8.967,,,,,,
,,16.861,2.905,-0.684,9.063,,,,,,
,,16.882,2.881,-0.727,9.039,,,,,,
,,16.902,2.881,-0.675,8.920,,,,,,
,,16.923,2.871,-0.703,9.039,,,,,,
,,16.943,2.795,-0.761,9.073,,,,,,
,,16.963,2.699,-0.780,8.967,,,,,,
,,16.984,2.675,-0.794,9.006,,,,,,
,,17.004,2.689,-0.823,9.030,,,,,,
,,17.024,2.651,-0.837,9.010,,,,,,
,,17.045,2.598,-0.727,9.030,,,,,,
,,17.065,2.622,-0.660,9.087,,,,,,
,,17.085,2.598,-0.627,9.149,,,,,,
,,17.106,2.531,-0.498,9.250,,,,,,
,,17.126,2.383,-0.488,9.326,,,,,,
,,17.147,2.373,-0.512,9.288,,,,,,
,,17.167,2.546,-0.402,9.226,,,,,,
,,17.187,2.622,-0.349,9.159,,,,,,
,,17.208,2.699,-0.402,9.087,,,,,,
,,17.228,2.622,-0.239,9.030,,,,,,
,,17.248,2.608,-0.120,9.039,,,,,,
,,17.269,2.809,-0.239,9.269,,,,,,
,,17.289,2.771,-0.306,9.379,,,,,,
,,17.310,2.818,-0.301,9.269,,,,,,
,,17.330,2.972,-0.268,9.278,,,,,,
,,17.350,2.948,-0.249,9.259,,,,,,
,,17.371,2.957,-0.273,9.192,,,,,,
,,17.391,3.024,-0.225,9.087,,,,,,
,,17.411,3.091,-0.163,8.963,,,,,,
,,17.432,3.163,-0.187,9.010,,,,,,
,,17.452,3.163,-0.206,9.039,,,,,,
,,17.473,3.101,-0.273,9.087,,,,,,
,,17.493,3.101,-0.345,9.130,,,,,,
,,17.513,3.091,-0.301,9.097,,,,,,
,,17.534,2.981,-0.325,9.149,,,,,,
,,17.554,2.948,-0.455,9.202,,,,,,
,,17.574,3.000,-0.455,9.192,,,,,,
,,17.595,2.895,-0.421,9.006,,,,,,
,,17.615,2.804,-0.498,8.867,,,,,,
,,17.635,2.847,-0.589,8.977,,,,,,
,,17.656,2.795,-0.737,9.054,,,,,,
,,17.676,2.708,-0.770,9.168,,,,,,
,,17.697,2.675,-0.703,9.293,,,,,,
,,17.717,2.613,-0.828,9.288,,,,,,
,,17.737,2.565,-0.866,9.259,,,,,,
,,17.758,2.570,-0.751,9.202,,,,,,
,,17.778,2.622,-0.794,9.054,,,,,,
,,17.798,2.622,-0.804,9.010,,,,,,
,,17.819,2.546,-0.770,9.106,,,,,,
,,17.839,2.469,-0.804,9.192,,,,,,
,,17.860,2.436,-0.813,9.293,,,,,,
,,17.880,2.426,-0.761,9.379,,,,,,
,,17.900,2.417,-0.708,9.388,,,,,,
,,17.921,2.445,-0.627,9.278,,,,,,
,,17.941,2.460,-0.531,9.192,,,,,,
,,17.961,2.460,-0.531,9.192,,,,,,
,,17.982,2.512,-0.464,9.159,,,,,,
,,18.002,2.493,-0.378,9.202,,,,,,
,,18.022,2.460,-0.455,9.207,,,,,,
,,18.043,2.488,-0.455,9.106,,,,,,
,,18.063,2.555,-0.301,9.125,,,,,,
,,18.083,2.689,-0.230,9.245,,,,,,
,,18.104,2.718,-0.215,9.149,,,,,,
,,18.124,2.732,-0.206,8.963,,,,,,
,,18.145,2.847,-0.182,8.996,,,,,,
,,18.165,2.828,-0.139,8.996,,,,,,
,,18.185,2.838,-0.172,8.920,,,,,,
,,18.206,2.957,-0.206,9.020,,,,,,
,,18.226,3.043,-0.268,9.063,,,,,,
,,18.246,3.048,-0.301,9.049,,,,,,
,,18.267,3.058,-0.239,9.235,,,,,,
,,18.287,3.048,-0.206,9.408,,,,,,
,,18.307,3.043,-0.215,9.408,,,,,,
,,18.328,3.067,-0.345,9.388,,,,,,
,,18.348,3.015,-0.388,9.345,,,,,,
,,18.369,2.957,-0.345,9.202,,,,,,
,,18.389,2.981,-0.412,9.010,,,,,,
,,18.409,2.967,-0.412,8.891,,,,,,
,,18.430,2.895,-0.421,9.087,,,,,,
,,18.450,2.838,-0.541,9.302,,,,,,
,,18.470,2.761,-0.641,9.312,,,,,,
,,18.491,2.684,-0.675,9.207,,,,,,
,,18.511,2.689,-0.651,9.010,,,,,,
,,18.532,2.728,-0.708,9.087,,,,,,
,,18.552,2.613,-0.813,9.312,,,,,,
,,18.572,2.512,-0.770,9.336,,,,,,
,,18.593,2.579,-0.751,9.278,,,,,,
,,18.613,2.579,-0.751,9.097,,,,,,
,,18.633,2.531,-0.746,8.900,,,,,,
,,18.654,2.488,-0.871,9.039,,,,,,
,,18.674,2.445,-0.890,9.312,,,,,,
,,18.694,2.426,-0.794,9.293,,,,,,
,,18.715,2.445,-0.794,9.207,,,,,,
,,18.735,2.479,-0.703,9.192,,,,,,
,,18.756,2.450,-0.617,9.082,,,,,,
,,18.776,2.493,-0.589,9.010,,,,,,
,,18.796,2.536,-0.445,9.063,,,,,,
,,18.817,2.469,-0.368,9.140,,,,,,
,,18.837,2.469,-0.392,9.130,,,,,,
,,18.857,2.479,-0.359,9.054,,,,,,
,,18.878,2.536,-0.412,9.125,,,,,,
,,18.898,2.622,-0.435,9.192,,,,,,
,,18.919,2.632,-0.249,9.125,,,,,,
,,18.939,2.651,-0.182,9.097,,,,,,
,,18.959,2.708,-0.258,9.173,,,,,,
,,18.980,2.795,-0.230,9.226,,,,,,
,,19.000,2.847,-0.249,9.250,,,,,,
,,19.020,2.838,-0.239,9.336,,,,,,
,,19.041,2.862,-0.268,9.355,,,,,,
,,19.061,2.929,-0.392,9.321,,,,,,
,,19.082,2.905,-0.325,9.336,,,,,,
,,19.102,2.929,-0.206,9.365,,,,,,
,,19.122,3.048,-0.249,9.369,,,,,,
,,19.143,3.043,-0.273,9.398,,,,,,
,,19.163,3.058,-0.273,9.398,,,,,,
,,19.183,3.077,-0.349,9.365,,,,,,
,,19.204,2.957,-0.402,9.326,,,,,,
,,19.224,3.000,-0.402,9.226,,,,,,
,,19.245,3.110,-0.388,9.106,,,,,,
,,19.265,2.991,-0.445,8.963,,,,,,
,,19.285,2.871,-0.512,8.953,,,,,,
,,19.306,2.862,-0.584,9.259,,,,,,
,,19.326,2.775,-0.703,9.432,,,,,,
,,19.346,2.732,-0.665,9.269,,,,,,
,,19.367,2.809,-0.617,8.967,,,,,,
,,19.387,2.795,-0.665,8.900,,,,,,
,,19.407,2.651,-0.703,9.183,,,,,,
,,19.428,2.469,-0.727,9.336,,,,,,
,,19.448,2.488,-0.737,9.269,,,,,,
,,19.469,2.546,-0.703,9.116,,,,,,
,,19.489,2.417,-0.761,9.054,,,,,,
,,19.509,2.383,-0.828,9.288,,,,,,
,,19.530,2.450,-0.737,9.321,,,,,,
,,19.550,2.402,-0.632,9.049,,,,,,
,,19.570,2.350,-0.751,9.049,,,,,,
,,19.591,2.326,-0.794,9.250,,,,,,
,,19.611,2.369,-0.541,9.312,,,,,,
,,19.632,2.450,-0.435,9.269,,,,,,
,,19.652,2.469,-0.498,9.125,,,,,,
,,19.672,2.503,-0.402,9.049,,,,,,
,,19.693,2.493,-0.349,9.140,,,,,,
,,19.713,2.469,-0.421,9.183,,,,,,
,,19.733,2.488,-0.455,9.269,,,,,,
,,19.754,2.412,-0.368,9.321,,,,,,
,,19.774,2.512,-0.249,9.235,,,,,,
,,19.794,2.665,-0.230,9.269,,,,,,
,,19.815,2.622,-0.301,9.159,,,,,,
,,19.835,2.775,-0.325,8.953,,,,,,
,,19.856,2.924,-0.249,8.987,,,,,,
,,19.876,2.881,-0.273,9.140,,,,,,
,,19.896,2.938,-0.292,9.312,,,,,,
,,19.917,2.991,-0.225,9.408,,,,,,
,,19.937,3.015,-0.292,9.345,,,,,,
,,19.957,3.043,-0.306,9.278,,,,,,
,,19.978,2.981,-0.239,9.159,,,,,,
,,19.998,3.077,-0.268,9.073,,,,,,
,,20.019,3.153,-0.292,9.020,,,,,,
,,20.039,3.034,-0.282,9.020,,,,,,
,,20.059,3.058,-0.359,8.996,,,,,,
,,20.080,3.067,-0.498,8.963,,,,,,
,,20.100,2.938,-0.512,9.216,,,,,,
,,20.120,2.852,-0.522,9.432,,,,,,
,,20.141,2.795,-0.694,9.326,,,,,,
,,20.161,2.795,-0.718,9.159,,,,,,
,,20.181,2.847,-0.617,8.996,,,,,,
,,20.202,2.795,-0.694,9.020,,,,,,
,,20.222,2.728,-0.694,9.226,,,,,,
,,20.243,2.732,-0.608,9.355,,,,,,
,,20.263,2.613,-0.703,9.293,,,,,,
,,20.283,2.555,-0.684,9.082,,,,,,
,,20.304,2.555,-0.703,8.963,,,,,,
,,20.324,2.460,-0.857,9.106,,,,,,
,,20.344,2.393,-0.837,9.345,,,,,,
,,20.365,2.417,-0.780,9.302,,,,,,
,,20.385,2.460,-0.737,9.073,,,,,,
,,20.406,2.469,-0.665,9.039,,,,,,
,,20.426,2.402,-0.651,9.183,,,,,,
,,20.446,2.292,-0.627,9.278,,,,,,
,,20.467,2.340,-0.531,9.302,,,,,,
,,20.487,2.469,-0.469,9.288,,,,,,
,,20.507,2.445,-0.455,9.149,,,,,,
,,20.528,2.402,-0.388,9.030,,,,,,
,,20.548,2.450,-0.368,8.987,,,,,,
,,20.568,2.488,-0.345,9.020,,,,,,
,,20.589,2.512,-0.239,9.159,,,,,,
,,20.609,2.503,-0.196,9.278,,,,,,
,,20.630,2.426,-0.249,9.326,,,,,,
,,20.650,2.469,-0.349,9.422,,,,,,
,,20.670,2.684,-0.335,9.365,,,,,,
,,20.691,2.804,-0.258,9.063,,,,,,
,,20.711,2.871,-0.206,8.891,,,,,,
,,20.731,2.981,-0.172,8.943,,,,,,
,,20.752,3.000,-0.225,9.125,,,,,,
,,20.772,2.924,-0.230,9.259,,,,,,
,,20.793,2.938,-0.249,9.365,,,,,,
,,20.813,2.924,-0.345,9.369,,,,,,
,,20.833,2.967,-0.306,9.269,,,,,,
,,20.854,3.058,-0.306,9.326,,,,,,
,,20.874,3.000,-0.392,9.398,,,,,,
,,20.894,2.914,-0.421,9.336,,,,,,
,,20.915,2.938,-0.368,9.168,,,,,,
,,20.935,3.067,-0.335,8.996,,,,,,
,,20.956,3.024,-0.435,8.934,,,,,,
,,20.976,2.885,-0.522,8.977,,,,,,
,,20.996,2.881,-0.574,9.140,,,,,,
,,21.017,2.818,-0.708,9.269,,,,,,
,,21.037,2.742,-0.761,9.278,,,,,,
,,21.057,2.771,-0.708,9.183,,,,,,
,,21.078,2.728,-0.708,8.963,,,,,,
,,21.098,2.622,-0.737,8.943,,,,,,
,,21.118,2.531,-0.746,9.235,,,,,,
,,21.139,2.479,-0.785,9.379,,,,,,
,,21.159,2.469,-0.847,9.235,,,,,,
,,21.179,2.479,-0.890,9.159,,,,,,
,,21.200,2.522,-0.890,9.125,,,,,,
,,21.220,2.565,-0.837,9.063,,,,,,
,,21.241,2.570,-0.823,9.183,,,,,,
,,21.261,2.522,-0.746,9.259,,,,,,
,,21.281,2.426,-0.627,9.269,,,,,,
,,21.302,2.373,-0.641,9.302,,,,,,
,,21.322,2.383,-0.684,9.250,,,,,,
,,21.342,2.373,-0.522,9.288,,,,,,
,,21.363,2.436,-0.392,9.336,,,,,,
,,21.383,2.531,-0.421,9.235,,,,,,
,,21.404,2.531,-0.392,9.245,,,,,,
,,21.424,2.531,-0.316,9.312,,,,,,
,,21.444,2.613,-0.268,9.278,,,,,,
,,21.465,2.651,-0.225,9.278,,,,,,
,,21.485,2.622,-0.187,9.250,,,,,,
,,21.505,2.732,-0.187,9.245,,,,,,
,,21.526,2.838,-0.230,9.302,,,,,,
,,21.546,2.862,-0.345,9.168,,,,,,
,,21.566,2.929,-0.301,9.020,,,,,,
,,21.587,2.991,-0.239,9.063,,,,,,
,,21.607,2.972,-0.325,8.967,,,,,,
,,21.628,3.015,-0.187,8.929,,,,,,
,,21.648,3.125,-0.148,9.082,,,,,,
,,21.668,3.101,-0.273,9.125,,,,,,
,,21.689,3.058,-0.273,9.130,,,,,,
,,21.709,3.024,-0.325,9.140,,,,,,
,,21.729,3.024,-0.388,9.140,,,,,,
,,21.750,3.024,-0.392,9.250,,,,,,
,,21.770,2.895,-0.464,9.245,,,,,,
,,21.791,2.948,-0.498,9.049,,,,,,
,,21.811,3.043,-0.512,9.006,,,,,,
,,21.831,2.871,-0.598,8.967,,,,,,
,,21.852,2.818,-0.718,8.943,,,,,,
,,21.872,2.871,-0.737,9.183,,,,,,
,,21.892,2.751,-0.703,9.293,,,,,,
,,21.913,2.684,-0.718,9.245,,,,,,
,,21.933,2.665,-0.746,9.345,,,,,,
,,21.953,2.598,-0.751,9.365,,,,,,
,,21.974,2.536,-0.746,9.216,,,,,,
,,21.994,2.579,-0.823,9.125,,,,,,
,,22.015,2.598,-0.933,9.039,,,,,,
,,22.035,2.598,-0.813,8.967,,,,,,
,,22.056,2.651,-0.737,9.030,,,,,,
,,22.076,2.608,-0.751,9.116,,,,,,
,,22.096,2.503,-0.660,9.245,,,,,,
