Auto,Run #1
Time (s),Angular Velocity (rad/s)
10.5,-2.793
10.525,-2.793
10.55,-2.793
10.575,-2.793
10.6,-2.676
10.625,-2.56
10.65,-2.327
10.675,-2.094
10.7,-1.745
10.725,-1.396
10.75,-1.047
10.775,-0.582
10.8,-0.233
10.825,-0.116
10.85,-0.233
10.875,-0.349
10.9,-0.349
10.925,-0.349
10.95,-0.349
10.975,-0.349
11,-0.349
11.025,-0.349
11.05,-0.465
11.075,-0.582
11.1,-0.582
11.125,-0.465
11.15,-0.465
11.175,-0.465
11.2,-0.349
11.225,-0.116
11.25,-0.116
11.275,-0.233
11.3,-0.233
11.325,-0.116
11.35,0
11.375,0
11.4,0
11.425,0
11.45,0
11.475,0
11.5,0
11.525,-0.116
11.55,-0.233
11.575,-0.233
11.6,-0.116
11.625,-0.116
11.65,-0.233
11.675,-0.233
11.7,-0.116
11.725,0
11.75,0
11.775,0
11.8,0
11.825,0.116
11.85,0.233
11.875,0.233
11.9,0.116
11.925,0
11.95,0
11.975,0
12,0
12.025,0
12.05,0
12.075,0
12.1,0
12.125,0
12.15,0
12.175,0.116
12.2,0.233
12.225,0.233
12.25,0.116
12.275,0
12.3,0
12.325,0
12.35,0
12.375,0.116
12.4,0.233
12.425,0.233
12.45,0.116
12.475,0
12.5,0
12.525,0
12.55,0
12.575,0
12.6,-0.116
12.625,-0.233
12.65,-0.233
12.675,-0.116
12.7,0
12.725,0
12.75,0
12.775,0
12.8,0
12.825,0
12.85,0.116
12.875,0.233
12.9,0.233
12.925,0.233
12.95,0.349
12.975,0.582
13,0.814
13.025,1.047
13.05,1.28
13.075,1.513
13.1,1.862
13.125,2.327
13.15,2.676
13.175,2.909
13.2,3.258
13.225,3.723
13.25,4.189
13.275,4.538
13.3,4.654
13.325,4.771
13.35,5.003
13.375,5.352
13.4,5.585
13.425,5.585
13.45,5.585
13.475,5.585
13.5,5.585
13.525,5.469
13.55,5.352
13.575,5.352
13.6,5.469
13.625,5.469
13.65,5.352
13.675,5.352
13.7,5.352
13.725,5.352
13.75,5.352
13.775,5.352
13.8,5.352
13.825,5.236
13.85,5.236
13.875,5.236
13.9,5.12
13.925,5.12
13.95,5.12
13.975,5.12
14,5.12
14.025,5.12
14.05,5.12
14.075,5.003
14.1,4.887
14.125,4.887
14.15,4.887
14.175,4.887
14.2,4.887
14.225,4.887
14.25,4.887
14.275,4.887
14.3,4.887
14.325,4.887
14.35,4.887
14.375,4.771
14.4,4.654
14.425,4.654
14.45,4.654
14.475,4.654
14.5,4.654
14.525,4.654
14.55,4.654
14.575,4.538
14.6,4.538
14.625,4.538
14.65,4.422
14.675,4.422
14.7,4.422
14.725,4.422
14.75,4.305
14.775,4.305
14.8,4.422
14.825,4.422
14.85,4.305
14.875,4.189
14.9,4.189
14.925,4.072
14.95,3.723
14.975,3.142
15,2.56
15.025,2.094
15.05,1.745
15.075,1.513
15.1,1.28
15.125,1.047
15.15,0.814
15.175,0.698
15.2,0.698
15.225,0.582
15.25,0.465
15.275,0.349
15.3,0.349
15.325,0.349
15.35,0.233
15.375,0.116
15.4,0
15.425,0
15.45,-0.116
15.475,-0.233
15.5,-0.233
15.525,-0.233
15.55,-0.349
15.575,-0.465
15.6,-0.465
15.625,-0.582
15.65,-0.814
15.675,-1.164
15.7,-1.396
15.725,-1.629
15.75,-1.862
15.775,-2.094
15.8,-2.443
15.825,-2.793
15.85,-3.258
15.875,-3.607
15.9,-3.84
15.925,-3.84
15.95,-3.723
15.975,-3.491
16,-3.142
16.025,-2.909
16.05,-2.676
16.075,-2.443
16.1,-2.094
16.125,-1.745
16.15,-1.396
16.175,-1.047
16.2,-0.814
16.225,-0.582
16.25,-0.349
16.275,-0.116
16.3,0
16.325,0
16.35,0
16.375,0
16.4,0
16.425,0.116
16.45,0.233
16.475,0.233
16.5,0.116
16.525,0
16.55,0
16.575,0
16.6,0.116
16.625,0.233
16.65,0.233
16.675,0.116
16.7,0
16.725,0
16.75,0
16.775,0
16.8,0
16.825,0
16.85,0
16.875,0
16.9,0
16.925,0
16.95,0
16.975,-0.116
17,-0.233
17.025,-0.233
17.05,-0.116
17.075,0
17.1,0
17.125,0
17.15,0
17.175,0
17.2,0
17.225,0
17.25,0
17.275,0
17.3,0
17.325,0.116
17.35,0.233
17.375,0.233
17.4,0.116
17.425,0
17.45,0
17.475,0
17.5,-0.116
17.525,-0.233
17.55,-0.233
17.575,-0.116
17.6,0
17.625,0
17.65,0.116
17.675,0.233
17.7,0.233
17.725,0.116
17.75,0
17.775,0
17.8,0
17.825,0
17.85,0
17.875,0
17.9,0
17.925,0
17.95,0
17.975,0
18,0
18.025,0
18.05,0
18.075,0
18.1,0
18.125,0
18.15,0
18.175,0
18.2,-0.116
18.225,-0.233
18.25,-0.233
18.275,-0.116
18.3,0
18.325,0
18.35,0
18.375,0
18.4,0
18.425,0
18.45,0.116
18.475,0.233
18.5,0.233
18.525,0.116
18.55,0
18.575,0.116
18.6,0.233
18.625,0.233
18.65,0.116
18.675,0
18.7,0
18.725,0
18.75,-0.116
18.775,-0.233
18.8,-0.349
18.825,-0.349
18.85,-0.349
18.875,-0.465
18.9,-0.582
18.925,-0.814
18.95,-1.164
18.975,-1.745
19,-2.443
19.025,-3.142
19.05,-3.723
19.075,-3.956
19.1,-3.84
19.125,-3.374
19.15,-2.676
19.175,-1.862
19.2,-0.931
19.225,-0.116
19.25,0.698
19.275,1.396
19.3,1.978
