Auto,Run #2
Time (s),Angular Velocity (rad/s)
21.45,0.814
21.5,0.756
21.55,0.698
21.6,0.698
21.65,0.64
21.7,0.582
21.75,0.524
21.8,0.465
21.85,0.407
21.9,0.291
21.95,0.233
22,0.233
22.05,0.233
22.1,0.175
22.15,0.058
22.2,-0.058
22.25,-0.116
22.3,-0.116
22.35,-0.116
22.4,-0.175
22.45,-0.233
22.5,-0.233
22.55,-0.233
22.6,-0.233
22.65,-0.233
22.7,-0.175
22.75,-0.116
22.8,-0.058
22.85,0
22.9,0
22.95,0
23,0
23.05,0.058
23.1,0.116
23.15,0.175
23.2,0.175
23.25,0.116
23.3,0.116
23.35,0.116
23.4,0.116
23.45,0.058
23.5,0
