Auto,Run #3
Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0
0.2,0.058
0.25,0.116
0.3,0.116
0.35,0.058
0.4,0
0.45,0.058
0.5,0.116
0.55,0.116
0.6,0.116
0.65,0.465
0.7,1.513
0.75,2.734
0.8,3.258
0.85,2.676
0.9,1.629
0.95,0.814
1,0.349
1.05,0.116
1.1,0
1.15,0
1.2,0
1.25,0
1.3,0
1.35,0
1.4,0
1.45,-0.058
1.5,-0.116
1.55,-0.116
1.6,-0.058
1.65,0
1.7,0
1.75,0
1.8,0
1.85,0
1.9,0
1.95,-0.058
2,-0.116
2.05,-0.116
2.1,-0.058
2.15,0
2.2,0
2.25,0
2.3,-0.058
2.35,-0.116
2.4,-0.116
2.45,-0.058
2.5,0
2.55,-0.058
2.6,-0.116
2.65,-0.116
2.7,-0.058
2.75,-0.058
2.8,-0.116
2.85,-0.116
2.9,-0.058
2.95,-0.058
3,-0.116
3.05,-0.116
3.1,-0.116
3.15,-0.116
3.2,-0.116
3.25,-0.058
3.3,-0.058
3.35,-0.116
3.4,-0.116
3.45,-0.116
3.5,-0.116
3.55,-0.116
3.6,-0.116
3.65,-0.116
3.7,-0.175
3.75,-0.175
3.8,-0.116
3.85,-0.116
3.9,-0.116
3.95,-0.116
4,-0.116
4.05,-0.116
4.1,-0.175
4.15,-0.175
4.2,-0.175
4.25,-0.175
4.3,-0.116
4.35,-0.116
4.4,-0.116
4.45,-0.175
4.5,-0.175
4.55,-0.175
4.6,-0.175
4.65,-0.116
4.7,-0.116
4.75,-0.116
4.8,-0.175
