Auto,Run #3
Time (s),Angular Velocity (rad/s)
9.55,-20.362
9.575,-20.129
9.6,-20.013
9.625,-20.129
9.65,-20.129
9.675,-20.013
9.7,-19.897
9.725,-19.897
9.75,-19.897
9.775,-19.78
9.8,-19.78
9.825,-19.78
9.85,-19.664
9.875,-19.431
9.9,-19.315
9.925,-19.431
9.95,-19.431
9.975,-19.315
10,-19.199
10.025,-19.082
10.05,-19.082
10.075,-19.082
10.1,-19.082
10.125,-18.966
10.15,-18.85
10.175,-18.85
10.2,-18.733
10.225,-18.617
10.25,-18.617
10.275,-18.617
10.3,-18.5
10.325,-18.384
10.35,-18.384
10.375,-18.384
10.4,-18.384
10.425,-18.384
10.45,-18.384
10.475,-18.268
10.5,-18.151
10.525,-18.035
10.55,-17.919
10.575,-17.802
10.6,-17.802
10.625,-17.802
10.65,-17.802
10.675,-17.802
10.7,-17.686
10.725,-17.57
10.75,-17.453
10.775,-17.453
10.8,-17.453
10.825,-17.453
10.85,-17.453
10.875,-17.337
10.9,-17.221
10.925,-17.104
10.95,-16.988
10.975,-16.988
11,-16.988
11.025,-16.988
11.05,-16.872
11.075,-16.755
11.1,-16.755
11.125,-16.755
11.15,-16.755
11.175,-16.755
11.2,-16.639
11.225,-16.522
11.25,-16.406
11.275,-16.29
11.3,-16.29
11.325,-16.29
11.35,-16.29
11.375,-16.173
11.4,-16.057
11.425,-16.057
11.45,-15.941
11.475,-15.824
11.5,-15.824
11.525,-15.941
11.55,-15.941
11.575,-15.824
11.6,-15.708
11.625,-15.592
11.65,-15.475
11.675,-15.359
11.7,-15.359
11.725,-15.359
11.75,-15.359
11.775,-15.359
11.8,-15.359
11.825,-15.243
11.85,-15.126
11.875,-15.126
11.9,-15.126
11.925,-15.01
11.95,-14.777
11.975,-14.777
12,-14.893
12.025,-14.893
12.05,-14.777
12.075,-14.661
12.1,-14.544
12.125,-14.428
12.15,-14.428
12.175,-14.428
12.2,-14.428
12.225,-14.312
12.25,-14.312
12.275,-14.312
12.3,-14.195
12.325,-14.079
12.35,-13.963
12.375,-13.963
12.4,-13.963
12.425,-13.963
12.45,-13.963
12.475,-13.963
12.5,-13.846
12.525,-13.73
12.55,-13.614
12.575,-13.614
12.6,-13.614
12.625,-13.497
12.65,-13.497
12.675,-13.497
12.7,-13.497
12.725,-13.381
12.75,-13.265
12.775,-13.265
12.8,-13.148
12.825,-13.032
12.85,-12.915
12.875,-12.799
12.9,-12.683
12.925,-12.683
12.95,-12.799
12.975,-12.799
13,-12.799
13.025,-12.799
13.05,-12.799
13.075,-12.683
13.1,-12.45
13.125,-12.334
13.15,-12.334
13.175,-12.45
13.2,-12.45
13.225,-12.334
13.25,-12.217
13.275,-12.217
13.3,-12.217
13.325,-12.217
13.35,-12.217
13.375,-12.101
13.4,-11.985
13.425,-11.868
13.45,-11.868
13.475,-11.752
13.5,-11.636
13.525,-11.636
13.55,-11.752
13.575,-11.752
13.6,-11.636
13.625,-11.519
13.65,-11.403
13.675,-11.403
13.7,-11.403
13.725,-11.403
13.75,-11.286
13.775,-11.17
13.8,-11.17
13.825,-11.17
13.85,-11.17
13.875,-11.17
13.9,-11.054
13.925,-10.937
13.95,-10.821
13.975,-10.821
14,-10.821
14.025,-10.705
14.05,-10.705
14.075,-10.705
14.1,-10.705
14.125,-10.588
14.15,-10.472
14.175,-10.472
14.2,-10.472
14.225,-10.356
14.25,-10.239
14.275,-10.239
14.3,-10.239
