Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
1/20/2020,2:55:54 PM,0.00,0.29,-0.92,1.03
1/20/2020,2:55:54 PM,0.10,0.29,-0.91,1.03
1/20/2020,2:55:54 PM,0.20,0.29,-0.9,1.03
1/20/2020,2:55:54 PM,0.30,0.28,-0.9,1.03
1/20/2020,2:55:54 PM,0.40,0.28,-0.91,1.03
1/20/2020,2:55:54 PM,0.50,0.29,-0.91,1.03
1/20/2020,2:55:55 PM,0.60,0.29,-0.92,1.03
1/20/2020,2:55:55 PM,0.70,0.29,-0.91,1.02
1/20/2020,2:55:55 PM,0.80,0.29,-0.91,1.02
1/20/2020,2:55:55 PM,0.90,0.29,-0.9,1.02
1/20/2020,2:55:55 PM,1.00,0.28,-0.9,1.02
1/20/2020,2:55:55 PM,1.10,0.28,-0.91,1.03
1/20/2020,2:55:55 PM,1.20,0.29,-0.91,1.03
1/20/2020,2:55:55 PM,1.30,0.29,-0.92,1.03
1/20/2020,2:55:55 PM,1.40,0.29,-0.92,1.03
1/20/2020,2:55:55 PM,1.50,0.29,-0.92,1.03
1/20/2020,2:55:56 PM,1.60,0.29,-0.91,1.03
1/20/2020,2:55:56 PM,1.70,0.29,-0.9,1.03
1/20/2020,2:55:56 PM,1.80,0.28,-0.91,1.03
1/20/2020,2:55:56 PM,1.90,0.28,-0.91,1.02
1/20/2020,2:55:56 PM,2.00,0.29,-0.91,1.02
1/20/2020,2:55:56 PM,2.10,0.29,-0.92,1.02
1/20/2020,2:55:56 PM,2.20,0.29,-0.92,1.02
1/20/2020,2:55:56 PM,2.30,0.29,-0.91,1.03
1/20/2020,2:55:56 PM,2.40,0.29,-0.91,1.02
1/20/2020,2:55:56 PM,2.50,0.28,-0.9,1.03
1/20/2020,2:55:57 PM,2.60,0.28,-0.91,1.02
1/20/2020,2:55:57 PM,2.70,0.28,-0.91,1.02
1/20/2020,2:55:57 PM,2.80,0.29,-0.92,1.02
1/20/2020,2:55:57 PM,2.90,0.29,-0.92,1.03
1/20/2020,2:55:57 PM,3.00,0.29,-0.92,1.03
1/20/2020,2:55:57 PM,3.10,0.29,-0.91,1.03
1/20/2020,2:55:57 PM,3.20,0.29,-0.9,1.02
1/20/2020,2:55:57 PM,3.30,0.28,-0.91,1.02
1/20/2020,2:55:57 PM,3.40,0.28,-0.91,1.03
1/20/2020,2:55:57 PM,3.50,0.29,-0.91,1.02
1/20/2020,2:55:58 PM,3.60,0.29,-0.92,1.03
1/20/2020,2:55:58 PM,3.70,0.29,-0.92,1.03
1/20/2020,2:55:58 PM,3.80,0.29,-0.91,1.02
1/20/2020,2:55:58 PM,3.90,0.29,-0.91,1.02
1/20/2020,2:55:58 PM,4.00,0.29,-0.91,1.02
1/20/2020,2:55:58 PM,4.10,0.28,-0.91,1.03
1/20/2020,2:55:58 PM,4.20,0.28,-0.91,1.03
1/20/2020,2:55:58 PM,4.30,0.29,-0.92,1.02
1/20/2020,2:55:58 PM,4.40,0.29,-0.92,1.03
1/20/2020,2:55:58 PM,4.50,0.29,-0.92,1.02
1/20/2020,2:55:59 PM,4.60,0.29,-0.91,1.03
1/20/2020,2:55:59 PM,4.70,0.29,-0.91,1.03
1/20/2020,2:55:59 PM,4.80,0.28,-0.91,1.02
1/20/2020,2:55:59 PM,4.90,0.28,-0.91,1.02
1/20/2020,2:55:59 PM,5.00,0.28,-0.92,1.02
1/20/2020,2:55:59 PM,5.10,0.29,-0.92,1.02
1/20/2020,2:55:59 PM,5.20,0.29,-0.92,1.03
1/20/2020,2:55:59 PM,5.30,0.29,-0.91,1.03
1/20/2020,2:55:59 PM,5.40,0.29,-0.91,1.03
1/20/2020,2:55:59 PM,5.50,0.29,-0.91,1.02
1/20/2020,2:56:00 PM,5.60,0.28,-0.91,1.02
1/20/2020,2:56:00 PM,5.70,0.28,-0.91,1.02
1/20/2020,2:56:00 PM,5.80,0.29,-0.92,1.02
1/20/2020,2:56:00 PM,5.90,0.29,-0.92,1.03
1/20/2020,2:56:00 PM,6.00,0.29,-0.92,1.02
1/20/2020,2:56:00 PM,6.10,0.29,-0.91,1.02
1/20/2020,2:56:00 PM,6.20,0.29,-0.91,1.02
1/20/2020,2:56:00 PM,6.30,0.29,-0.91,1.02
1/20/2020,2:56:00 PM,6.40,0.28,-0.91,1.02
1/20/2020,2:56:00 PM,6.50,0.28,-0.92,1.02
1/20/2020,2:56:01 PM,6.60,0.29,-0.92,1.02
1/20/2020,2:56:01 PM,6.70,0.29,-0.92,1.02
1/20/2020,2:56:01 PM,6.80,0.29,-0.92,1.02
1/20/2020,2:56:01 PM,6.90,0.29,-0.91,1.03
1/20/2020,2:56:01 PM,7.00,0.29,-0.91,1.03
