Date,Time,Elapsed Seconds,Acceleration-X (g),Acceleration-Y (g),Acceleration-Z (g)
1/20/2020,2:59:23 PM,0.00,0.14,-0.89,1.04
1/20/2020,2:59:23 PM,0.10,0.14,-0.89,1.05
1/20/2020,2:59:23 PM,0.20,0.14,-0.9,1.05
1/20/2020,2:59:24 PM,0.30,0.14,-0.9,1.05
1/20/2020,2:59:24 PM,0.40,0.15,-0.91,1.05
1/20/2020,2:59:24 PM,0.50,0.15,-0.91,1.05
1/20/2020,2:59:24 PM,0.60,0.15,-0.9,1.05
1/20/2020,2:59:24 PM,0.70,0.15,-0.89,1.05
1/20/2020,2:59:24 PM,0.80,0.14,-0.89,1.05
1/20/2020,2:59:24 PM,0.90,0.14,-0.9,1.05
1/20/2020,2:59:24 PM,1.00,0.14,-0.9,1.05
1/20/2020,2:59:24 PM,1.10,0.15,-0.9,1.04
1/20/2020,2:59:24 PM,1.20,0.15,-0.91,1.05
1/20/2020,2:59:25 PM,1.30,0.15,-0.9,1.05
1/20/2020,2:59:25 PM,1.40,0.15,-0.9,1.05
1/20/2020,2:59:25 PM,1.50,0.14,-0.89,1.05
1/20/2020,2:59:25 PM,1.60,0.14,-0.89,1.05
1/20/2020,2:59:25 PM,1.70,0.14,-0.9,1.05
1/20/2020,2:59:25 PM,1.80,0.14,-0.9,1.05
1/20/2020,2:59:25 PM,1.90,0.14,-0.91,1.05
1/20/2020,2:59:25 PM,2.00,0.15,-0.91,1.05
1/20/2020,2:59:25 PM,2.10,0.15,-0.9,1.05
1/20/2020,2:59:25 PM,2.20,0.15,-0.9,1.05
1/20/2020,2:59:26 PM,2.30,0.14,-0.89,1.05
1/20/2020,2:59:26 PM,2.40,0.14,-0.9,1.05
1/20/2020,2:59:26 PM,2.50,0.14,-0.9,1.05
1/20/2020,2:59:26 PM,2.60,0.15,-0.9,1.05
1/20/2020,2:59:26 PM,2.70,0.15,-0.91,1.05
1/20/2020,2:59:26 PM,2.80,0.15,-0.9,1.05
1/20/2020,2:59:26 PM,2.90,0.15,-0.9,1.04
1/20/2020,2:59:26 PM,3.00,0.14,-0.89,1.05
1/20/2020,2:59:26 PM,3.10,0.14,-0.89,1.05
1/20/2020,2:59:26 PM,3.20,0.14,-0.9,1.05
1/20/2020,2:59:27 PM,3.30,0.14,-0.9,1.05
1/20/2020,2:59:27 PM,3.40,0.15,-0.91,1.05
1/20/2020,2:59:27 PM,3.50,0.15,-0.91,1.05
1/20/2020,2:59:27 PM,3.60,0.15,-0.9,1.05
1/20/2020,2:59:27 PM,3.70,0.14,-0.9,1.05
1/20/2020,2:59:27 PM,3.80,0.14,-0.89,1.05
1/20/2020,2:59:27 PM,3.90,0.14,-0.9,1.05
1/20/2020,2:59:27 PM,4.00,0.14,-0.9,1.05
1/20/2020,2:59:27 PM,4.10,0.15,-0.91,1.05
1/20/2020,2:59:27 PM,4.20,0.15,-0.91,1.05
1/20/2020,2:59:28 PM,4.30,0.15,-0.9,1.04
1/20/2020,2:59:28 PM,4.40,0.15,-0.9,1.05
1/20/2020,2:59:28 PM,4.50,0.14,-0.89,1.05
