Auto,Run #6
Time (s),Angular Velocity (rad/s)
0.05,0
0.1,0
0.15,0
0.2,0
0.25,0
0.3,-0.058
0.35,-0.116
0.4,-0.116
0.45,-0.058
0.5,0
0.55,0.116
0.6,0.524
0.65,1.164
0.7,1.687
0.75,1.862
0.8,1.862
0.85,1.862
0.9,1.862
0.95,1.687
1,1.222
1.05,0.524
1.1,-0.175
1.15,-0.64
1.2,-0.814
1.25,-0.814
1.3,-0.756
1.35,-0.698
1.4,-0.64
1.45,-0.582
1.5,-0.524
1.55,-0.465
1.6,-0.407
1.65,-0.349
1.7,-0.291
1.75,-0.233
1.8,-0.175
1.85,-0.175
1.9,-0.175
1.95,-0.058
2,0.058
2.05,0.116
2.1,0.058
2.15,0.058
2.2,0.116
2.25,0.175
2.3,0.175
2.35,0.175
2.4,0.175
2.45,0.116
2.5,0.058
2.55,0
2.6,0
2.65,0
2.7,0
2.75,0
2.8,0
2.85,0
2.9,-0.058
2.95,-0.116
3,-0.116
3.05,-0.058
3.1,0
3.15,0
3.2,0
3.25,0
3.3,0
3.35,0
3.4,0
3.45,0
3.5,0.058
3.55,0.116
3.6,0.116
3.65,0.058
3.7,0
3.75,0
3.8,0
3.85,0
3.9,0
3.95,0
4,0
4.05,-0.058
4.1,-0.116
4.15,-0.116
4.2,-0.058
4.25,0
4.3,0
4.35,0
4.4,0
4.45,0
4.5,0
4.55,0
4.6,0.058
4.65,0.116
4.7,0.116
4.75,0.058
4.8,0
4.85,0
4.9,0
4.95,0
5,0
5.05,0
5.1,0
5.15,0
5.2,-0.058
5.25,-0.116
5.3,-0.116
5.35,-0.058
5.4,0
5.45,0
5.5,0
5.55,0
5.6,0
5.65,0
5.7,0
5.75,0.058
5.8,0.116
5.85,0.116
5.9,0.058
5.95,0
6,0
6.05,0
6.1,0
6.15,0
6.2,0
6.25,0
6.3,-0.058
6.35,-0.116
6.4,-0.116
6.45,-0.058
6.5,0
6.55,0
6.6,0
6.65,0
6.7,0
6.75,0
6.8,0
6.85,0.058
6.9,0.116
6.95,0.116
7,0.058
7.05,0
7.1,0
7.15,0
7.2,0
7.25,0
7.3,0
7.35,0
7.4,-0.058
7.45,-0.116
7.5,-0.116
7.55,-0.058
7.6,0
7.65,0
7.7,0
7.75,0
7.8,0
7.85,0
7.9,0
7.95,0.058
8,0.116
8.05,0.116
8.1,0.058
8.15,0
8.2,0
8.25,0
8.3,0
8.35,0
8.4,0
8.45,0
8.5,-0.058
8.55,-0.116
8.6,-0.116
8.65,-0.058
8.7,0
8.75,0
8.8,0
8.85,0
8.9,0
8.95,0
9,0
9.05,0.058
9.1,0.116
9.15,0.116
9.2,0.058
9.25,0
9.3,0
9.35,0
9.4,0
9.45,0
9.5,0
9.55,0
9.6,-0.058
9.65,-0.116
9.7,-0.116
9.75,-0.058
9.8,0
9.85,0
9.9,0
9.95,0
10,0
10.05,0
10.1,0
10.15,0.058
10.2,0.116
10.25,0.116
10.3,0.058
10.35,0
10.4,0
10.45,0
10.5,0
10.55,0
10.6,0
10.65,0
10.7,-0.058
10.75,-0.116
10.8,-0.116
10.85,-0.058
10.9,0
10.95,0
11,0
11.05,0
11.1,0
11.15,0
11.2,0.058
11.25,0.116
11.3,0.116
11.35,0.058
11.4,0
11.45,0
11.5,0
11.55,0
11.6,0
11.65,0
11.7,0
11.75,0
11.8,0
11.85,0
11.9,0
11.95,0
12,0
12.05,0
12.1,0.058
12.15,0.116
12.2,0.175
12.25,0.175
12.3,0.116
12.35,0.116
12.4,0.116
12.45,0.175
12.5,0.175
12.55,0.175
12.6,0.233
12.65,0.291
12.7,0.349
12.75,0.349
