Auto,Run #15
Time (s),Angular Velocity (rad/s)
20.4,5.411
20.45,5.469
20.5,5.469
20.55,5.469
20.6,5.469
20.65,5.527
20.7,5.643
20.75,5.701
20.8,5.701
20.85,5.701
20.9,5.76
20.95,5.876
21,5.934
21.05,5.934
21.1,5.992
21.15,6.109
21.2,6.225
21.25,6.283
21.3,6.283
21.35,6.341
21.4,6.458
21.45,6.574
21.5,6.632
21.55,6.632
21.6,6.632
21.65,6.632
21.7,6.632
21.75,6.632
21.8,6.632
21.85,6.632
21.9,6.632
21.95,6.632
22,6.574
22.05,6.516
22.1,6.516
22.15,6.574
22.2,6.632
22.25,6.632
22.3,6.69
22.35,6.749
22.4,6.807
22.45,6.807
22.5,6.807
22.55,6.807
22.6,6.807
22.65,6.807
22.7,6.807
22.75,6.865
22.8,6.923
22.85,6.981
22.9,7.039
22.95,7.156
23,7.272
23.05,7.389
23.1,7.505
23.15,7.621
23.2,7.738
23.25,7.854
23.3,7.97
23.35,8.029
23.4,8.029
23.45,8.087
23.5,8.145
23.55,8.203
23.6,8.203
23.65,8.145
23.7,8.145
23.75,8.145
23.8,8.203
23.85,8.203
23.9,8.203
23.95,8.261
24,8.319
24.05,8.378
24.1,8.378
24.15,8.378
24.2,8.378
24.25,8.378
24.3,8.378
24.35,8.378
24.4,8.378
24.45,8.378
24.5,8.378
24.55,8.319
24.6,8.261
24.65,8.261
24.7,8.319
24.75,8.378
24.8,8.436
24.85,8.494
24.9,8.494
24.95,8.436
25,8.378
25.05,8.378
25.1,8.378
25.15,8.378
25.2,8.378
25.25,8.378
25.3,8.378
25.35,8.378
25.4,8.378
25.45,8.378
25.5,8.378
25.55,8.378
25.6,8.378
25.65,8.436
25.7,8.494
25.75,8.494
25.8,8.436
25.85,8.378
25.9,8.378
25.95,8.378
26,8.319
26.05,8.261
26.1,8.261
26.15,8.319
26.2,8.436
26.25,8.494
26.3,8.494
26.35,8.494
26.4,8.552
26.45,8.668
26.5,8.727
26.55,8.785
26.6,8.901
26.65,9.076
26.7,9.25
26.75,9.425
26.8,9.599
26.85,9.774
26.9,9.948
26.95,10.065
27,10.181
27.05,10.297
27.1,10.414
27.15,10.53
27.2,10.647
27.25,10.763
27.3,10.821
27.35,10.879
27.4,10.996
27.45,11.112
27.5,11.228
27.55,11.286
27.6,11.345
27.65,11.403
27.7,11.461
27.75,11.519
27.8,11.519
27.85,11.519
27.9,11.519
27.95,11.519
28,11.519
28.05,11.519
28.1,11.577
28.15,11.636
28.2,11.694
28.25,11.694
28.3,11.636
28.35,11.636
28.4,11.636
28.45,11.636
28.5,11.636
28.55,11.636
28.6,11.694
28.65,11.752
28.7,11.752
28.75,11.752
28.8,11.694
28.85,11.694
28.9,11.694
28.95,11.694
29,11.694
29.05,11.694
29.1,11.694
29.15,11.694
29.2,11.752
29.25,11.752
29.3,11.752
29.35,11.752
29.4,11.752
29.45,11.694
29.5,11.636
29.55,11.636
29.6,11.694
29.65,11.694
29.7,11.694
29.75,11.752
29.8,11.81
29.85,11.81
29.9,11.752
29.95,11.694
30,11.694
30.05,11.694
30.1,11.694
30.15,11.694
30.2,11.694
30.25,11.752
30.3,11.752
30.35,11.752
30.4,11.694
30.45,11.694
30.5,11.694
30.55,11.694
30.6,11.694
30.65,11.694
30.7,11.694
30.75,11.694
30.8,11.752
30.85,11.752
30.9,11.752
30.95,11.752
31,11.752
31.05,11.694
31.1,11.636
31.15,11.636
31.2,11.694
31.25,11.694
31.3,11.694
31.35,11.752
31.4,11.81
31.45,11.81
31.5,11.752
31.55,11.694
31.6,11.694
31.65,11.694
31.7,11.636
31.75,11.636
31.8,11.694
31.85,11.752
31.9,11.752
31.95,11.694
32,11.636
32.05,11.636
32.1,11.636
32.15,11.636
32.2,11.577
32.25,11.519
32.3,11.519
32.35,11.577
32.4,11.636
32.45,11.636
32.5,11.636
32.55,11.636
32.6,11.636
32.65,11.636
32.7,11.636
32.75,11.636
32.8,11.577
32.85,11.519
32.9,11.519
32.95,11.345
33,10.937
33.05,10.414
33.1,9.832
33.15,9.192
33.2,8.494
33.25,7.854
33.3,7.214
33.35,6.516
33.4,5.818
33.45,5.178
33.5,4.538
33.55,3.898
