;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-02-11, 22:52:19.739
;Temperature, -999.00, deg C,  Vbat, 4144, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
3.809540,339,-884,-13261
3.825165,392,-872,-13076
3.840790,317,-852,-13092
3.856415,246,-884,-13274
3.872040,224,-816,-13053
3.887665,214,-822,-13011
3.903290,257,-943,-13185
3.918915,285,-954,-13122
3.934540,207,-906,-13131
3.950165,203,-929,-13215
3.965790,249,-938,-13126
3.981415,187,-895,-13017
3.997040,158,-950,-13104
4.012665,269,-1083,-13217
4.028290,249,-1009,-13088
4.043915,85,-911,-13056
4.059540,108,-1002,-13203
4.075165,169,-993,-13115
4.090790,62,-897,-13026
4.106415,55,-1011,-13199
4.122040,217,-1136,-13169
4.137665,210,-1045,-13017
4.153290,58,-1000,-13108
4.168915,37,-1041,-13092
4.184540,91,-1054,-13047
4.200165,91,-1090,-13197
4.215790,32,-1054,-13140
4.231415,17,-1052,-13063
4.247040,83,-1147,-13129
4.262665,76,-1111,-13038
4.278290,-31,-1088,-13079
4.293915,-8,-1125,-13131
4.309540,101,-1095,-13088
4.325165,69,-1152,-13195
4.340790,21,-1161,-13060
4.356415,-4,-1108,-12994
4.372040,-59,-1168,-13170
4.387665,-11,-1147,-13033
4.403290,3,-1120,-13081
4.418915,-102,-1174,-13244
4.434540,-15,-1149,-13020
4.450165,83,-1193,-13085
4.465790,-40,-1225,-13158
4.481415,-111,-1136,-12958
4.497040,-115,-1177,-13103
4.512665,-63,-1204,-13174
4.528290,-33,-1166,-13094
4.543915,-93,-1204,-13115
4.559540,-24,-1222,-13081
4.575165,-34,-1224,-13128
4.590790,-158,-1188,-13029
4.606415,-149,-1174,-12995
4.622040,-127,-1261,-13220
4.637665,-104,-1215,-13097
4.653290,-122,-1138,-13035
4.668915,-183,-1247,-13233
4.684540,-90,-1274,-13036
4.700165,-58,-1227,-12965
4.715790,-175,-1249,-13161
4.731415,-161,-1215,-13090
4.747040,-147,-1193,-13083
4.762665,-208,-1202,-13156
4.778290,-172,-1222,-13117
4.793915,-138,-1284,-13090
4.809540,-181,-1243,-13028
4.825165,-217,-1213,-13070
4.840790,-133,-1318,-13124
4.856415,-59,-1293,-13056
4.872040,-188,-1204,-13122
4.887665,-274,-1190,-13090
4.903290,-202,-1209,-13010
4.918915,-200,-1272,-13153
4.934540,-220,-1288,-13119
4.950165,-124,-1300,-13035
4.965790,-158,-1299,-13136
4.981415,-281,-1218,-13086
4.997040,-275,-1197,-13051
5.012665,-247,-1266,-13140
5.028290,-218,-1284,-13086
5.043915,-181,-1281,-13095
5.059540,-195,-1307,-13126
5.075165,-175,-1300,-13033
5.090790,-165,-1318,-13131
5.106415,-277,-1284,-13156
5.122040,-318,-1206,-12976
5.137665,-286,-1234,-13085
5.153290,-277,-1304,-13192
5.168915,-224,-1274,-13045
5.184540,-242,-1263,-13101
5.200165,-240,-1332,-13153
5.215790,-204,-1297,-13033
5.231415,-306,-1232,-13069
5.247040,-275,-1275,-13111
5.262665,-172,-1336,-13128
5.278290,-283,-1277,-13094
5.293915,-315,-1225,-13042
5.309540,-261,-1306,-13142
5.325165,-256,-1307,-13054
5.340790,-206,-1268,-13042
5.356415,-242,-1338,-13210
5.372040,-218,-1307,-12978
5.387665,-163,-1270,-13006
5.403290,-268,-1343,-13261
5.418915,-229,-1302,-12981
5.434540,-193,-1288,-13026
5.450165,-311,-1334,-13254
5.465790,-250,-1274,-12979
5.481415,-229,-1274,-13031
5.497040,-311,-1311,-13208
5.512665,-258,-1272,-13033
5.528290,-277,-1282,-13060
5.543915,-295,-1302,-13111
5.559540,-256,-1295,-13094
5.575165,-299,-1286,-13097
5.590790,-258,-1261,-13035
5.606415,-283,-1297,-13174
5.622040,-343,-1297,-13120
5.637665,-236,-1247,-12947
5.653290,-249,-1290,-13179
5.668915,-293,-1300,-13119
5.684540,-206,-1252,-12938
5.700165,-284,-1302,-13199
5.715790,-327,-1306,-13104
5.731415,-225,-1261,-12945
5.747040,-283,-1316,-13188
5.762665,-279,-1322,-13090
5.778290,-209,-1286,-12983
5.793915,-272,-1315,-13161
5.809540,-234,-1313,-13092
5.825165,-184,-1309,-13042
5.840790,-229,-1322,-13106
5.856415,-213,-1309,-13056
5.872040,-204,-1322,-13067
5.887665,-199,-1338,-13083
5.903290,-174,-1343,-13090
5.918915,-170,-1357,-13099
5.934540,-136,-1347,-13051
5.950165,-150,-1347,-13072
5.965790,-163,-1354,-13069
5.981415,-72,-1379,-13060
5.997040,-43,-1436,-13156
6.012665,-108,-1391,-13092
6.028290,-152,-1316,-13013
6.043915,-149,-1372,-13122
6.059540,-93,-1395,-13072
6.075165,-93,-1345,-13026
6.090790,-161,-1354,-13122
6.106415,-138,-1361,-13031
6.122040,-90,-1372,-13020
6.137665,-65,-1445,-13140
6.153290,-8,-1440,-13074
6.168915,-42,-1397,-13106
6.184540,-93,-1424,-13099
6.200165,-77,-1324,-13001
6.215790,-156,-1347,-13165
6.231415,32,-1706,-12699
6.247040,615,-1838,-12374
6.262665,853,-1779,-13306
6.278290,735,-1745,-13469
6.293915,701,-1582,-13317
6.309540,480,-1250,-14069
6.325165,83,-927,-13842
6.340790,-197,-1297,-12296
6.356415,-140,-1877,-10953
6.372040,258,-1868,-12135
6.387665,733,-1724,-14697
6.403290,1460,-1693,-14429
6.418915,1980,-1882,-13110
6.434540,1592,-2020,-12758
6.450165,1076,-1841,-11803
6.465790,823,-1752,-11862
6.481415,287,-1599,-13245
6.497040,1005,-1877,-13660
6.512665,2937,-2193,-13260
6.528290,2031,-1077,-13651
6.543915,-122,-117,-14326
6.559540,-424,-115,-13158
6.575165,-1732,141,-12392
6.590790,-3330,360,-13236
6.606415,-3545,480,-12753
6.622040,-4096,778,-12438
6.637665,-4202,773,-13560
6.653290,-3175,396,-13677
6.668915,-2934,326,-13165
6.684540,-3834,708,-13545
6.700165,-4555,1090,-13815
6.715790,-4564,1344,-13131
6.731415,-4002,1314,-12558
6.747040,-2916,935,-12454
6.762665,-1361,721,-12658
6.778290,-283,740,-14149
6.793915,-138,621,-15149
6.809540,191,230,-13454
6.825165,1083,-620,-11706
6.840790,2047,-1606,-11763
6.856415,3146,-2211,-12628
6.872040,4533,-2711,-13515
6.887665,5229,-3047,-13658
6.903290,4472,-3095,-13536
6.918915,3788,-3118,-13245
6.934540,3667,-3209,-12724
6.950165,3615,-3704,-12658
6.965790,4663,-4079,-12197
6.981415,5517,-3645,-12456
6.997040,4213,-2836,-13906
7.012665,3196,-1884,-14022
7.028290,2888,-1268,-13435
7.043915,1335,-1120,-12970
7.059540,171,-702,-11897
7.075165,-215,-158,-12278
7.090790,-954,224,-14083
7.106415,-1168,533,-14461
7.122040,-1159,564,-13969
7.137665,-1866,303,-13485
7.153290,-2718,44,-12472
7.168915,-3507,124,-11649
7.184540,-4202,471,-11810
7.200165,-4616,764,-13156
7.215790,-4564,871,-14238
7.231415,-3579,782,-13820
7.247040,-2939,633,-13594
7.262665,-3450,714,-13590
7.278290,-3648,999,-12958
7.293915,-3563,964,-12749
7.309540,-3395,867,-12519
7.325165,-2647,1055,-12612
7.340790,-1706,1035,-13894
7.356415,-567,830,-14404
7.372040,633,421,-13656
7.387665,1506,-325,-13008
7.403290,2190,-1020,-12817
7.418915,2958,-1816,-12985
7.434540,4158,-2809,-12753
7.450165,5608,-3750,-12310
7.465790,6417,-4532,-12622
7.481415,6565,-4641,-13028
7.497040,6342,-4080,-13451
7.512665,5249,-3429,-13940
7.528290,3722,-2811,-13428
7.543915,2762,-2548,-12444
7.559540,2451,-2525,-11728
7.575165,2540,-2059,-11842
7.590790,2626,-1366,-13465
7.606415,2396,-716,-14667
7.622040,1830,-188,-14106
7.637665,878,64,-13061
7.653290,-408,382,-12476
7.668915,-1948,832,-12799
7.684540,-3225,1092,-13292
7.700165,-4002,1253,-13008
7.715790,-4745,1324,-13072
7.731415,-4780,1107,-13560
7.747040,-4121,799,-13260
7.762665,-4007,696,-12938
7.778290,-4291,912,-13385
7.793915,-4618,1262,-13910
7.809540,-4655,1362,-13576
7.825165,-4166,1190,-12601
7.840790,-3323,826,-12337
7.856415,-1993,469,-12760
7.872040,-543,216,-13406
7.887665,335,-92,-13852
7.903290,942,-465,-13322
7.918915,1883,-1109,-12840
7.934540,2763,-1973,-13095
7.950165,3854,-2845,-13067
7.965790,5558,-3705,-12788
7.981415,6302,-4216,-13042
7.997040,5790,-4200,-13445
8.012665,5492,-3775,-13369
8.028290,4924,-3280,-13276
8.043915,3597,-2889,-12981
8.059540,2540,-2443,-12140
8.075165,2017,-1995,-12049
8.090790,1653,-1361,-13210
8.106415,1153,-592,-14265
8.122040,557,-261,-14131
8.137665,-150,-175,-13192
8.153290,-1227,108,-12499
8.168915,-2381,330,-12456
8.184540,-3359,562,-12692
8.200165,-4477,939,-12992
8.215790,-4986,939,-13317
8.231415,-4030,544,-13292
8.247040,-3120,212,-13197
8.262665,-2988,185,-13378
8.278290,-2936,453,-13654
8.293915,-3243,753,-13902
8.309540,-3548,869,-13519
8.325165,-3098,564,-12665
8.340790,-2123,-33,-12001
8.356415,-1027,-345,-11997
8.372040,-104,-443,-13136
8.387665,644,-624,-14154
8.403290,1399,-834,-14067
8.418915,1842,-1291,-13569
8.434540,2189,-1956,-12951
8.450165,3060,-2650,-12619
8.465790,4038,-3395,-12663
8.481415,4886,-3945,-12710
8.497040,5829,-4339,-12910
8.512665,6317,-4280,-13086
8.528290,5661,-3573,-13442
8.543915,4417,-2904,-13588
8.559540,3454,-2397,-12553
8.575165,2630,-1891,-11885
8.590790,1767,-1247,-12617
8.606415,1165,-450,-13588
8.622040,830,-15,-14045
8.637665,510,99,-13606
8.653290,305,89,-13010
8.668915,124,-11,-13017
8.684540,-322,80,-12961
8.700165,-702,123,-12712
8.715790,-779,73,-12701
8.731415,-795,167,-13228
8.747040,-795,148,-13933
8.762665,-750,0,-13736
8.778290,-741,-172,-12897
8.793915,-575,-388,-12678
8.809540,-517,-327,-13131
8.825165,-891,-40,-13492
8.840790,-1165,14,-13404
8.856415,-1422,-31,-13036
8.872040,-1957,49,-12829
8.887665,-2477,137,-13111
8.903290,-2809,146,-13456
8.918915,-2668,-15,-13265
8.934540,-2291,-243,-12940
8.950165,-2170,-275,-12926
