;Title, http://www.gcdataconcepts.com, x2-2,Kionix KXRB5-2050
;Version, 1102, Build date, Oct  6 2015,  SN:CCDC10023F56AE8
;Start_time, 2007-02-12, 01:31:47.715
;Temperature, -999.00, deg C,  Vbat, 4162, mv
;Gain, high
;SampleRate, 64,Hz
;Deadband, 0, counts
;DeadbandTimeout, 0,sec
;Headers, time,Ax,Ay,Az
3.703064,-63,149,-13185
3.718689,-161,212,-13156
3.734314,-58,158,-13179
3.749939,-58,203,-13133
3.765564,-827,307,-13053
3.781189,-843,92,-13129
3.796814,410,28,-13149
3.812439,708,121,-13126
3.828064,5,182,-13165
3.843689,-234,108,-13163
3.859314,-397,-102,-13169
3.874939,-259,176,-13190
3.890564,66,389,-13179
3.906189,42,214,-13172
3.921814,60,308,-13165
3.937439,-59,321,-13167
3.953064,-158,192,-13179
3.968689,114,378,-13172
3.984314,19,291,-13156
3.999939,-336,28,-13149
4.015564,-202,158,-13151
4.031189,-74,235,-13165
4.046814,-133,192,-13165
4.062439,-104,203,-13160
4.078064,-88,201,-13161
4.093689,-115,210,-13153
4.109314,-120,201,-13144
4.124939,-95,217,-13156
4.140564,-99,214,-13158
4.156189,-124,162,-13156
4.171814,-70,319,-13167
4.187439,-68,307,-13174
4.203064,-152,51,-13185
4.218689,-131,124,-13172
4.234314,-113,226,-13169
4.249939,-147,192,-13183
4.265564,-115,217,-13172
4.281189,-88,217,-13165
4.296814,-111,199,-13160
4.312439,-65,224,-13161
4.328064,-42,223,-13186
4.343689,-109,189,-13165
4.359314,-122,194,-13145
4.374939,-106,187,-13167
4.390564,-99,182,-13174
4.406189,-95,203,-13170
4.421814,-104,198,-13165
4.437439,-97,187,-13165
4.453064,-95,185,-13165
4.468689,-120,191,-13165
4.484314,-122,210,-13169
4.499939,-115,208,-13167
4.515564,-118,192,-13160
4.531189,-113,192,-13151
4.546814,-120,208,-13158
4.562439,-111,207,-13179
4.578064,-90,183,-13174
4.593689,-102,194,-13151
4.609314,-109,207,-13153
4.624939,-99,198,-13158
4.640564,-109,210,-13120
4.656189,-147,219,-13120
4.671814,-150,203,-13161
4.687439,-99,191,-13167
4.703064,-74,199,-13165
4.718689,-106,216,-13147
4.734314,-120,205,-13158
