Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
19.50, .22, -.201, 10.073
19.60, .177, -.187, 10.059
19.70, .172, -.177, 10.064
19.80, .22, -.22, 10.064
19.90, .22, -.192, 10.097
20.00, 1.145, -.58, 10.045
20.10, 1.284, -.513, 10.112
20.20, .877, -.254, 10.097
20.30, .958, -.019, 10.021
20.40, -1.15, .786, 10.016
20.50, -1.619, .719, 10.026
20.60, -.536, .192, 10.073
20.70, -.278, .192, 10.054
20.80, .584, .067, 9.963
20.90, 1.188, -.364, 10.069
21.00, 2.017, -.934, 10.04
21.10, 2.266, -1.068, 10.059
21.20, 1.437, -.431, 10.026
21.30, .302, .254, 10.093
21.40, .172, .153, 10.016
21.50, -.556, .383, 10.05
21.60, -.848, .383, 10.064
21.70, -1.437, .642, 10.088
21.80, -.565, .331, 10.011
21.90, -.153, .254, 10.04
22.00, -.22, .364, 10.093
22.10, .747, -.062, 10.102
22.20, .714, -.225, 10.073
22.30, -.081, .048, 9.968
22.40, .517, -.196, 10.088
22.50, .599, -.283, 10.112
22.60, -.086, -.211, 10.054
22.70, -.733, -.177, 10.121
22.80, .316, -.014, 10.088
22.90, .081, .014, 10.102
23.00, .297, .072, 10.15
23.10, .992, .096, 10.002
23.20, .982, -.125, 10.15
23.30, .45, -.211, 10.093
23.40, .987, -.096, 10.021
23.50, .517, -.168, 10.093
23.60, .651, -.105, 10.035
23.70, .695, -.014, 10.054
23.80, .359, -.005, 10.03
23.90, -.182, -.077, 10.035
24.00, .014, -.11, 10.112
24.10, -.259, -.168, 10.021
24.20, .196, -.235, 10.073
24.30, 1.087, -.575, 10.117
24.40, .901, -.374, 10.126
24.50, .393, -.062, 9.987
24.60, .661, -.11, 10.126
24.70, .244, .148, 10.073
24.80, -1.768, .857, 10.006
24.90, -.01, -.091, 10.054
25.00, .187, -.158, 10.069
25.10, .22, -.201, 10.078
25.20, .139, -.153, 10.059
25.30, .12, -.168, 10.054
25.40, .699, -.105, 10.332
25.50, .259, -.153, 10.083
25.60, .158, -.187, 10.035
25.70, .225, -.168, 10.054
25.80, .22, -.148, 10.059
25.90, .22, -.158, 10.069
26.00, .187, -.144, 10.059
26.10, .22, -.172, 10.059
26.20, .201, -.163, 10.054
26.30, .196, -.144, 10.045
