Time, Acceleration(m/s²), Acceleration(m/s²), Acceleration(m/s²)
.00, .479, -.158, 10.04
.10, .498, -.11, 10.064
.20, .541, -.139, 10.064
.30, .493, -.153, 10.05
.40, .56, -.144, 10.05
.50, .527, -.139, 10.059
.60, .503, -.148, 10.04
.70, .541, -.148, 10.054
.80, .465, -.129, 10.05
.90, .541, -.139, 10.059
1.00, .493, -.153, 10.05
1.10, .546, -.148, 10.045
1.20, .493, -.148, 10.045
1.30, .532, -.129, 10.035
1.40, .479, -.139, 10.059
1.50, .556, -.134, 10.03
1.60, .589, -.125, 10.059
1.70, .513, -.158, 10.069
1.80, .455, -.144, 10.05
1.90, .503, -.148, 10.045
2.00, .493, -.153, 10.054
2.10, .963, .038, 10.006
2.20, .57, -.12, 10.05
2.30, .584, -.129, 10.059
2.40, .517, -.125, 10.05
2.50, .651, -.072, 10.054
2.60, 1.193, -.23, 10.059
2.70, 1.456, -.182, 10.05
2.80, .216, .038, 10.03
2.90, .383, .038, 10.064
3.00, .666, .005, 10.035
3.10, .192, .038, 10.054
3.20, .551, -.024, 10.069
3.30, .326, -.0, 10.069
3.40, .388, -.048, 10.05
3.50, .321, -.072, 10.064
3.60, .345, -.072, 10.045
3.70, .493, -.081, 10.059
3.80, .484, -.062, 10.073
3.90, .469, -.072, 10.064
4.00, .455, -.081, 10.059
4.10, .412, -.062, 10.045
4.20, -.479, .105, 10.064
4.30, -.541, .206, 10.026
4.40, .489, .153, 10.016
4.50, .867, .101, 10.04
4.60, .781, .029, 10.002
4.70, 2.558, -.431, 10.006
4.80, 1.657, -.287, 10.045
4.90, 1.169, -.101, 10.04
5.00, .263, .172, 10.035
5.10, -.307, .163, 10.05
5.20, .139, .029, 10.04
5.30, .359, -.01, 10.054
5.40, .101, -.0, 10.026
5.50, .211, -.019, 10.059
5.60, .201, -.029, 10.059
5.70, .46, -.086, 10.064
5.80, .436, -.077, 10.064
5.90, .489, -.086, 10.064
6.00, .005, .014, 10.064
6.10, .005, .034, 10.107
6.20, -.081, .144, 10.04
6.30, .982, -.01, 10.03
6.40, .292, .057, 10.021
6.50, .101, .115, 10.093
6.60, 1.423, -.081, 10.093
6.70, 1.087, -.077, 9.968
6.80, .57, -.067, 10.093
6.90, 1.494, -.287, 10.064
7.00, .45, -.148, 10.073
7.10, .589, -.129, 10.054
7.20, .541, -.081, 10.064
7.30, .57, -.029, 10.073
7.40, .311, -.067, 10.097
7.50, .565, .038, 10.04
7.60, -.12, -.388, 10.155
7.70, .402, -.038, 9.973
7.80, -1.178, -.69, 10.083
7.90, .857, .35, 10.002
8.00, .536, .005, 10.006
8.10, -1.25, -.168, 10.184
8.20, -.182, -.086, 10.102
8.30, .58, .144, 10.078
8.40, .742, .125, 9.973
8.50, 1.039, .278, 10.016
8.60, 1.571, .388, 9.997
8.70, 1.332, .168, 10.021
8.80, .709, -.057, 10.04
8.90, .604, -.096, 10.059
9.00, .695, -.057, 10.045
9.10, 1.025, .072, 10.102
9.20, .944, .148, 10.03
9.30, .57, -.014, 10.05
9.40, 1.006, .216, 10.045
9.50, .302, -.072, 10.073
9.60, .92, .163, 9.935
9.70, .709, .153, 10.131
9.80, .977, .254, 10.078
9.90, .134, -.043, 10.064
10.00, -.963, -.661, 10.102
10.10, .546, -.11, 10.059
10.20, .762, .005, 10.035
10.30, .019, -.244, 10.083
10.40, .982, .134, 10.016
10.50, -.369, -.383, 10.083
10.60, 1.035, .287, 10.016
10.70, .426, -.081, 10.04
