Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,1:45:37 PM,0.00,0.3,-0.22,-9.61
2/10/2020,1:45:37 PM,0.05,0.3,-0.25,-9.6
2/10/2020,1:45:37 PM,0.10,0.29,-0.26,-9.57
2/10/2020,1:45:37 PM,0.15,0.3,-0.25,-9.59
2/10/2020,1:45:37 PM,0.20,0.29,-0.25,-9.6
2/10/2020,1:45:37 PM,0.25,0.34,-0.21,-9.58
2/10/2020,1:45:37 PM,0.30,-0.09,-0.78,-9.6
2/10/2020,1:45:37 PM,0.35,0.33,-0.2,-9.54
2/10/2020,1:45:37 PM,0.40,0.31,-0.25,-9.53
2/10/2020,1:45:37 PM,0.45,0.24,-0.29,-9.55
2/10/2020,1:45:37 PM,0.50,0.26,-0.27,-9.56
2/10/2020,1:45:37 PM,0.55,0.28,-0.27,-9.58
2/10/2020,1:45:37 PM,0.60,0.26,-0.26,-9.6
2/10/2020,1:45:37 PM,0.65,0.26,-0.27,-9.64
2/10/2020,1:45:37 PM,0.70,0.28,-0.24,-9.55
2/10/2020,1:45:37 PM,0.75,0.3,-0.25,-9.54
2/10/2020,1:45:37 PM,0.80,0.28,-0.26,-9.57
2/10/2020,1:45:38 PM,0.85,0.26,-0.28,-9.59
2/10/2020,1:45:38 PM,0.90,0.27,-0.25,-9.57
2/10/2020,1:45:38 PM,0.95,0.28,-0.25,-9.6
2/10/2020,1:45:38 PM,1.00,0.29,-0.26,-9.56
2/10/2020,1:45:38 PM,1.05,0.28,-0.26,-9.61
2/10/2020,1:45:38 PM,1.10,0.27,-0.28,-9.58
2/10/2020,1:45:38 PM,1.15,0.28,-0.25,-9.6
2/10/2020,1:45:38 PM,1.20,0.3,-0.25,-9.53
2/10/2020,1:45:38 PM,1.25,0.26,-0.25,-9.59
2/10/2020,1:45:38 PM,1.30,0.27,-0.26,-9.57
2/10/2020,1:45:38 PM,1.35,0.26,-0.24,-9.56
2/10/2020,1:45:38 PM,1.40,0.28,-0.27,-9.56
2/10/2020,1:45:38 PM,1.45,0.27,-0.27,-9.56
2/10/2020,1:45:38 PM,1.50,0.29,-0.23,-9.56
2/10/2020,1:45:38 PM,1.55,0.26,-0.28,-9.58
2/10/2020,1:45:38 PM,1.60,0.24,-0.3,-9.53
2/10/2020,1:45:38 PM,1.65,-0.08,-0.53,-9.63
2/10/2020,1:45:38 PM,1.70,-3.3,-0.29,-9.85
2/10/2020,1:45:38 PM,1.75,-6.35,-0.15,-9.63
2/10/2020,1:45:38 PM,1.80,-6.27,-0.27,-9.52
2/10/2020,1:45:39 PM,1.85,-0.28,-1.15,-9.59
2/10/2020,1:45:39 PM,1.90,5.58,-0.18,-9.5
2/10/2020,1:45:39 PM,1.95,7.64,-0.43,-9.61
2/10/2020,1:45:39 PM,2.00,5.15,-0.13,-9.57
2/10/2020,1:45:39 PM,2.05,1.08,-0.23,-9.59
2/10/2020,1:45:39 PM,2.10,0.4,-0.23,-9.57
2/10/2020,1:45:39 PM,2.15,0.37,-0.25,-9.58
2/10/2020,1:45:39 PM,2.20,0.4,-0.24,-9.6
2/10/2020,1:45:39 PM,2.25,0.37,-0.24,-9.6
2/10/2020,1:45:39 PM,2.30,0.41,-0.26,-9.57
2/10/2020,1:45:39 PM,2.35,0.48,-0.27,-9.61
2/10/2020,1:45:39 PM,2.40,0.38,-0.24,-9.59
2/10/2020,1:45:39 PM,2.45,0.36,-0.25,-9.56
2/10/2020,1:45:39 PM,2.50,0.4,-0.23,-9.62
2/10/2020,1:45:39 PM,2.55,0.38,-0.24,-9.58
2/10/2020,1:45:39 PM,2.60,0.36,-0.24,-9.56
2/10/2020,1:45:39 PM,2.65,0.39,-0.24,-9.59
