Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:50:22 PM,0.00,0.03,-0.24,10.27
2/10/2020,2:50:22 PM,0.04,0.04,-0.24,10.27
2/10/2020,2:50:22 PM,0.08,0.05,-0.24,10.27
2/10/2020,2:50:22 PM,0.12,0.05,-0.24,10.27
2/10/2020,2:50:22 PM,0.16,0.05,-0.24,10.26
2/10/2020,2:50:22 PM,0.20,0.05,-0.23,10.26
2/10/2020,2:50:22 PM,0.24,0.04,-0.23,10.28
2/10/2020,2:50:23 PM,0.28,0.06,-0.24,10.26
2/10/2020,2:50:23 PM,0.32,0.04,-0.25,10.25
2/10/2020,2:50:23 PM,0.36,0.05,-0.23,10.27
2/10/2020,2:50:23 PM,0.40,-0.57,-0.05,10.26
2/10/2020,2:50:23 PM,0.44,-0.95,-0.35,10.26
2/10/2020,2:50:23 PM,0.48,-1.02,-0.38,10.27
2/10/2020,2:50:23 PM,0.52,-0.83,-0.35,10.23
2/10/2020,2:50:23 PM,0.56,-1.01,-0.64,10.22
2/10/2020,2:50:23 PM,0.60,-0.65,-0.75,10.23
2/10/2020,2:50:23 PM,0.64,-0.28,-0.59,10.26
2/10/2020,2:50:23 PM,0.68,-0.4,-0.93,10.21
2/10/2020,2:50:23 PM,0.72,-0.46,-0.93,10.25
2/10/2020,2:50:23 PM,0.76,-0.29,-1.32,10.26
2/10/2020,2:50:23 PM,0.80,0.05,-1.17,10.31
2/10/2020,2:50:23 PM,0.84,0.46,-0.83,10.28
2/10/2020,2:50:23 PM,0.88,0.66,-0.82,10.27
2/10/2020,2:50:23 PM,0.92,0.45,-1.36,10.32
2/10/2020,2:50:23 PM,0.96,0.52,-1.34,10.26
2/10/2020,2:50:23 PM,1.00,0.4,-1.68,10.28
2/10/2020,2:50:23 PM,1.04,0.88,-1.43,10.29
2/10/2020,2:50:23 PM,1.08,0.73,-1.14,10.25
2/10/2020,2:50:23 PM,1.12,1.51,-0.49,10.31
2/10/2020,2:50:23 PM,1.16,0.82,-1.22,10.29
2/10/2020,2:50:23 PM,1.20,1.71,-0.78,10.29
2/10/2020,2:50:23 PM,1.24,2.46,-0.33,10.3
2/10/2020,2:50:24 PM,1.28,3.1,-0.98,10.3
2/10/2020,2:50:24 PM,1.32,4.2,-0.31,10.28
2/10/2020,2:50:24 PM,1.36,4.5,2.06,10.29
2/10/2020,2:50:24 PM,1.40,4.4,2.74,10.3
2/10/2020,2:50:24 PM,1.44,4.37,3.71,10.26
2/10/2020,2:50:24 PM,1.48,2.14,3.79,10.25
2/10/2020,2:50:24 PM,1.52,-2.59,4.11,10.17
2/10/2020,2:50:24 PM,1.56,-5.58,4.49,10.19
2/10/2020,2:50:24 PM,1.60,-6.15,4.46,10.18
2/10/2020,2:50:24 PM,1.64,-6.69,2.26,10.17
2/10/2020,2:50:24 PM,1.68,-4.74,0.21,10.19
2/10/2020,2:50:24 PM,1.72,-5.34,-2.98,10.22
2/10/2020,2:50:24 PM,1.76,-2.76,-5.11,10.17
2/10/2020,2:50:24 PM,1.80,-2.2,-5.18,10.29
2/10/2020,2:50:24 PM,1.84,-1.12,-4.92,10.27
2/10/2020,2:50:24 PM,1.88,1.53,-3.19,10.36
2/10/2020,2:50:24 PM,1.92,4.44,-1.41,10.36
2/10/2020,2:50:24 PM,1.96,3.74,-1.62,10.33
2/10/2020,2:50:24 PM,2.00,3.57,-1.47,10.36
2/10/2020,2:50:24 PM,2.04,3.02,-1.11,10.33
2/10/2020,2:50:24 PM,2.08,0.57,-0.45,10.25
2/10/2020,2:50:24 PM,2.12,0.15,-0.52,10.3
2/10/2020,2:50:24 PM,2.16,0.08,-0.4,10.27
2/10/2020,2:50:24 PM,2.20,-0.08,-0.05,10.24
2/10/2020,2:50:24 PM,2.24,0.08,-0.09,10.27
2/10/2020,2:50:25 PM,2.28,0.05,-0.22,10.27
2/10/2020,2:50:25 PM,2.32,0.01,-0.25,10.27
2/10/2020,2:50:25 PM,2.36,0.16,-0.22,10.28
2/10/2020,2:50:25 PM,2.40,0.05,-0.22,10.28
2/10/2020,2:50:25 PM,2.44,0.03,-0.25,10.23
