Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:47:41 PM,0.00,0.03,-0.23,10.25
2/10/2020,2:47:41 PM,0.04,0.06,-0.23,10.25
2/10/2020,2:47:41 PM,0.08,0.04,-0.24,10.25
2/10/2020,2:47:41 PM,0.12,0.03,-0.24,10.26
2/10/2020,2:47:41 PM,0.16,0.04,-0.23,10.25
2/10/2020,2:47:41 PM,0.20,0.06,-0.23,10.28
2/10/2020,2:47:41 PM,0.24,0.05,-0.24,10.25
2/10/2020,2:47:41 PM,0.28,0.05,-0.23,10.26
2/10/2020,2:47:41 PM,0.32,0.04,-0.23,10.25
2/10/2020,2:47:41 PM,0.36,0.04,-0.23,10.25
2/10/2020,2:47:42 PM,0.40,-0.23,-0.08,10.26
2/10/2020,2:47:42 PM,0.44,-0.79,-0.15,10.24
2/10/2020,2:47:42 PM,0.48,-0.57,-0.47,10.25
2/10/2020,2:47:42 PM,0.52,-0.44,-0.3,10.26
2/10/2020,2:47:42 PM,0.56,-0.69,-0.39,10.27
2/10/2020,2:47:42 PM,0.60,-0.46,-0.45,10.23
2/10/2020,2:47:42 PM,0.64,-0.26,-0.39,10.3
2/10/2020,2:47:42 PM,0.68,-0.06,-0.35,10.25
2/10/2020,2:47:42 PM,0.72,0.19,-0.59,10.24
2/10/2020,2:47:42 PM,0.76,0.3,-0.58,10.25
2/10/2020,2:47:42 PM,0.80,0.62,-0.62,10.26
2/10/2020,2:47:42 PM,0.84,-0.21,-0.42,10.27
2/10/2020,2:47:42 PM,0.88,-0.12,-0.75,10.27
2/10/2020,2:47:42 PM,0.92,-0.16,-0.57,10.26
2/10/2020,2:47:42 PM,0.96,0.18,-0.32,10.24
2/10/2020,2:47:42 PM,1.00,0.13,-0.23,10.26
2/10/2020,2:47:42 PM,1.04,0.29,-0.13,10.26
2/10/2020,2:47:42 PM,1.08,0.01,-0.06,10.23
2/10/2020,2:47:42 PM,1.12,0.46,-0.46,10.26
2/10/2020,2:47:42 PM,1.16,0.01,-0.49,10.26
2/10/2020,2:47:42 PM,1.20,-0.43,-0.75,10.27
2/10/2020,2:47:42 PM,1.24,0.55,-0.42,10.28
2/10/2020,2:47:42 PM,1.28,0.07,-0.79,10.26
2/10/2020,2:47:42 PM,1.32,0.2,-0.83,10.27
2/10/2020,2:47:42 PM,1.36,0.3,-0.85,10.28
2/10/2020,2:47:43 PM,1.40,0.63,-0.82,10.27
2/10/2020,2:47:43 PM,1.44,0.11,-1.22,10.27
2/10/2020,2:47:43 PM,1.48,0.67,-0.35,10.29
2/10/2020,2:47:43 PM,1.52,0.73,-0.43,10.27
2/10/2020,2:47:43 PM,1.56,0.82,-0.58,10.3
2/10/2020,2:47:43 PM,1.60,0.87,-0.45,10.29
2/10/2020,2:47:43 PM,1.64,0.77,-0.02,10.29
2/10/2020,2:47:43 PM,1.68,0.16,0.06,10.28
2/10/2020,2:47:43 PM,1.72,0.13,0.11,10.28
2/10/2020,2:47:43 PM,1.76,0.45,0.06,10.25
2/10/2020,2:47:43 PM,1.80,0.71,-0.09,10.29
2/10/2020,2:47:43 PM,1.84,0.41,0.16,10.23
2/10/2020,2:47:43 PM,1.88,0.48,0.28,10.29
2/10/2020,2:47:43 PM,1.92,1.07,0.28,10.28
2/10/2020,2:47:43 PM,1.96,0.46,0.21,10.28
2/10/2020,2:47:43 PM,2.00,0.65,0.16,10.26
2/10/2020,2:47:43 PM,2.04,0.25,0.16,10.27
2/10/2020,2:47:43 PM,2.08,0.38,0.04,10.3
2/10/2020,2:47:43 PM,2.12,1.04,0.33,10.28
2/10/2020,2:47:43 PM,2.16,0.6,0.3,10.28
2/10/2020,2:47:43 PM,2.20,-0.4,0.11,10.24
2/10/2020,2:47:43 PM,2.24,-0.73,0.21,10.25
2/10/2020,2:47:43 PM,2.28,-0.69,0.48,10.24
2/10/2020,2:47:43 PM,2.32,-0.14,0.38,10.26
2/10/2020,2:47:43 PM,2.36,-0.23,0.32,10.26
2/10/2020,2:47:44 PM,2.40,0.04,0.43,10.25
2/10/2020,2:47:44 PM,2.44,-0.31,0.26,10.23
2/10/2020,2:47:44 PM,2.48,-0.15,0.26,10.25
2/10/2020,2:47:44 PM,2.52,-1.01,0.1,10.24
2/10/2020,2:47:44 PM,2.56,-1.16,0.1,10.26
2/10/2020,2:47:44 PM,2.60,-0.35,0.13,10.27
2/10/2020,2:47:44 PM,2.64,-0.81,-0.02,10.26
2/10/2020,2:47:44 PM,2.68,-0.86,-0.26,10.27
2/10/2020,2:47:44 PM,2.72,-0.86,-0.09,10.27
2/10/2020,2:47:44 PM,2.76,-0.85,-0.37,10.28
2/10/2020,2:47:44 PM,2.80,-0.88,-0.23,10.25
2/10/2020,2:47:44 PM,2.84,-0.74,-0.09,10.21
2/10/2020,2:47:44 PM,2.88,-0.37,-0.44,10.23
2/10/2020,2:47:44 PM,2.92,-0.47,-0.57,10.25
2/10/2020,2:47:44 PM,2.96,-0.28,-0.63,10.27
2/10/2020,2:47:44 PM,3.00,-0.63,-0.51,10.26
2/10/2020,2:47:44 PM,3.04,-0.51,-0.66,10.26
2/10/2020,2:47:44 PM,3.08,0.12,-0.5,10.26
2/10/2020,2:47:44 PM,3.12,0.12,-0.67,10.25
2/10/2020,2:47:44 PM,3.16,0.1,-0.79,10.28
2/10/2020,2:47:44 PM,3.20,0.15,-0.6,10.28
2/10/2020,2:47:44 PM,3.24,-0.32,-0.86,10.29
2/10/2020,2:47:44 PM,3.28,-0.73,-0.78,10.26
2/10/2020,2:47:44 PM,3.32,-0.2,-0.74,10.27
2/10/2020,2:47:44 PM,3.36,-0.21,-0.81,10.27
2/10/2020,2:47:45 PM,3.40,0.87,-0.79,10.28
2/10/2020,2:47:45 PM,3.44,0.7,-0.66,10.29
2/10/2020,2:47:45 PM,3.48,0.22,-0.69,10.27
2/10/2020,2:47:45 PM,3.52,-0.64,-0.65,10.25
2/10/2020,2:47:45 PM,3.56,-0.19,-0.72,10.27
2/10/2020,2:47:45 PM,3.60,-0.05,-0.81,10.26
