Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:41:14 PM,0.00,0.05,-0.23,10.27
2/10/2020,2:41:14 PM,0.05,0.05,-0.21,10.28
2/10/2020,2:41:15 PM,0.10,0.04,-0.22,10.26
2/10/2020,2:41:15 PM,0.15,0.05,-0.22,10.26
2/10/2020,2:41:15 PM,0.20,0.03,-0.21,10.25
2/10/2020,2:41:15 PM,0.25,0.04,-0.21,10.28
2/10/2020,2:41:15 PM,0.30,-0.9,-0.13,10.25
2/10/2020,2:41:15 PM,0.35,-0.64,-0.27,10.26
2/10/2020,2:41:15 PM,0.40,-2.55,-1.06,10.26
2/10/2020,2:41:15 PM,0.45,-2.8,-1.95,10.22
2/10/2020,2:41:15 PM,0.50,-1.4,-3.09,10.25
2/10/2020,2:41:15 PM,0.55,0.88,-3.4,10.32
2/10/2020,2:41:15 PM,0.60,2.04,-3.16,10.33
2/10/2020,2:41:15 PM,0.65,3.1,-2.01,10.26
2/10/2020,2:41:15 PM,0.70,4.16,-1.05,10.26
2/10/2020,2:41:15 PM,0.75,4.54,0.64,10.28
2/10/2020,2:41:15 PM,0.80,4.44,1.89,10.3
2/10/2020,2:41:15 PM,0.85,3.45,2.91,10.28
2/10/2020,2:41:15 PM,0.90,0.68,3.69,10.22
2/10/2020,2:41:15 PM,0.95,-2.07,3.37,10.22
2/10/2020,2:41:15 PM,1.00,-3.09,2.77,10.21
2/10/2020,2:41:15 PM,1.05,-3.2,1.7,10.21
2/10/2020,2:41:16 PM,1.10,-1.78,0.61,10.23
2/10/2020,2:41:16 PM,1.15,-2.29,0.11,10.19
2/10/2020,2:41:16 PM,1.20,-3.68,-1.09,10.24
2/10/2020,2:41:16 PM,1.25,-4.49,-2.06,10.24
2/10/2020,2:41:16 PM,1.30,-2.94,-3.5,10.27
2/10/2020,2:41:16 PM,1.35,-0.76,-3.38,10.3
2/10/2020,2:41:16 PM,1.40,5.35,-2.05,10.35
2/10/2020,2:41:16 PM,1.45,5.24,-0.79,10.33
2/10/2020,2:41:16 PM,1.50,0.84,-0.39,10.29
2/10/2020,2:41:16 PM,1.55,0.06,-0.21,10.27
2/10/2020,2:41:16 PM,1.60,-0.01,0.13,10.29
2/10/2020,2:41:16 PM,1.65,0.05,-0.21,10.26
