Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:30:21 PM,0.00,0.08,-0.24,10.27
2/10/2020,2:30:21 PM,0.05,0.07,-0.23,10.27
2/10/2020,2:30:21 PM,0.10,0.08,-0.25,10.26
2/10/2020,2:30:21 PM,0.15,0.08,-0.24,10.27
2/10/2020,2:30:21 PM,0.20,0.07,-0.25,10.25
2/10/2020,2:30:21 PM,0.25,0.12,-0.24,10.26
2/10/2020,2:30:21 PM,0.30,1.05,-0.24,10.26
2/10/2020,2:30:21 PM,0.35,1.33,-0.24,10.28
2/10/2020,2:30:21 PM,0.40,1.96,-0.26,10.3
2/10/2020,2:30:21 PM,0.45,1.61,-0.27,10.27
2/10/2020,2:30:21 PM,0.50,0.58,-0.24,10.3
2/10/2020,2:30:21 PM,0.55,1.79,-0.25,10.25
2/10/2020,2:30:21 PM,0.60,0.87,-0.27,10.25
2/10/2020,2:30:21 PM,0.65,1.82,-0.26,10.25
2/10/2020,2:30:22 PM,0.70,1.2,-0.27,10.26
2/10/2020,2:30:22 PM,0.75,-1.37,-0.24,10.26
2/10/2020,2:30:22 PM,0.80,-3.94,-0.23,10.21
2/10/2020,2:30:22 PM,0.85,-4.83,-0.16,10.2
2/10/2020,2:30:22 PM,0.90,-2.03,-0.39,10.24
2/10/2020,2:30:22 PM,0.95,-0.04,-0.27,10.24
2/10/2020,2:30:22 PM,1.00,0.08,-0.26,10.27
2/10/2020,2:30:22 PM,1.05,0.09,-0.25,10.26
2/10/2020,2:30:22 PM,1.10,0.06,-0.27,10.26
