0.009,0.001,-0.004,1.004
0.009,0.001,-0.001,1.002
0.010,0.003,-0.001,0.997
0.010,0.004,-0.001,0.999
0.010,0.007,0.001,0.998
0.012,0.007,0.000,1.000
0.014,0.009,0.001,0.999
0.016,0.009,-0.001,1.001
0.019,0.008,-0.004,1.000
0.022,0.006,-0.006,1.000
0.023,0.004,-0.009,1.000
0.026,0.001,-0.013,0.999
0.028,-0.000,-0.014,0.999
0.031,-0.002,-0.017,1.002
0.033,-0.003,-0.018,1.002
0.036,-0.003,-0.019,1.005
0.038,-0.005,-0.021,1.005
0.040,-0.005,-0.020,1.003
0.043,-0.006,-0.018,1.003
0.045,-0.005,-0.018,1.002
0.048,-0.005,-0.014,1.000
0.050,-0.004,-0.011,1.001
0.052,-0.003,-0.009,1.001
0.055,-0.000,-0.005,1.003
0.057,0.003,-0.002,1.003
0.060,0.004,-0.000,1.001
0.062,0.004,-0.000,1.000
0.064,0.005,-0.000,0.999
0.067,0.007,0.000,0.998
0.069,0.008,0.001,1.000
0.072,0.009,-0.002,0.999
0.074,0.010,-0.003,0.999
0.079,0.008,-0.004,0.999
0.079,0.007,-0.007,1.001
0.082,0.005,-0.009,0.999
0.084,0.004,-0.010,1.000
0.086,-0.000,-0.012,1.000
0.089,-0.001,-0.018,1.001
0.091,-0.002,-0.018,1.003
0.093,-0.002,-0.017,1.003
0.096,-0.005,-0.020,1.003
0.098,-0.007,-0.020,1.004
0.101,-0.006,-0.020,1.004
0.103,-0.006,-0.017,1.004
0.105,-0.006,-0.015,1.000
0.108,-0.005,-0.013,1.001
0.111,-0.003,-0.009,1.000
0.113,0.001,-0.008,1.004
0.115,0.002,-0.004,1.002
0.117,0.003,-0.002,1.002
0.120,0.006,-0.002,1.000
0.122,0.006,0.001,1.000
0.125,0.006,0.002,0.999
0.128,0.008,-0.001,0.999
0.129,0.008,-0.000,0.998
0.132,0.008,-0.003,1.001
0.134,0.007,-0.004,1.001
0.137,0.008,-0.007,1.001
0.139,0.006,-0.009,1.001
0.141,0.004,-0.012,1.002
0.145,0.002,-0.014,1.001
0.146,-0.002,-0.017,1.002
0.149,-0.002,-0.019,1.001
0.151,-0.003,-0.019,1.003
0.153,-0.005,-0.019,1.003
0.156,-0.006,-0.019,1.005
0.158,-0.004,-0.020,1.003
0.161,-0.006,-0.016,1.002
0.163,-0.006,-0.014,0.999
0.166,-0.004,-0.011,1.001
0.168,-0.002,-0.009,1.000
0.170,0.000,-0.005,1.001
0.173,0.001,-0.004,1.000
0.175,0.003,-0.001,1.002
0.180,0.004,-0.001,0.998
0.180,0.006,0.000,1.001
0.183,0.007,0.000,0.998
0.185,0.007,-0.001,0.999
0.187,0.009,-0.000,0.998
0.190,0.008,-0.003,1.001
0.192,0.008,-0.004,1.000
0.195,0.006,-0.007,1.001
0.197,0.006,-0.009,0.999
0.199,0.003,-0.011,1.000
0.202,-0.000,-0.014,1.000
0.204,-0.002,-0.017,1.000
0.206,-0.004,-0.019,1.001
0.209,-0.005,-0.018,1.003
0.212,-0.005,-0.021,1.004
0.214,-0.005,-0.021,1.007
0.216,-0.005,-0.018,1.002
0.218,-0.004,-0.017,1.002
0.221,-0.005,-0.013,1.000
0.223,-0.003,-0.012,1.002
0.226,-0.001,-0.009,1.002
0.228,-0.001,-0.007,1.004
0.231,0.003,-0.002,1.002
0.233,0.004,-0.002,1.002
0.236,0.006,-0.001,0.999
0.238,0.006,-0.001,0.999
0.240,0.008,0.000,0.998
0.244,0.010,-0.001,0.999
0.246,0.008,-0.000,1.001
0.247,0.010,-0.003,1.000
0.250,0.006,-0.004,1.000
0.252,0.007,-0.007,1.002
0.255,0.006,-0.009,1.000
0.257,0.001,-0.012,1.000
0.260,0.000,-0.014,1.000
0.262,-0.002,-0.016,1.001
0.264,-0.004,-0.018,1.001
0.267,-0.004,-0.020,1.003
0.275,-0.005,-0.020,1.005
0.275,-0.004,-0.020,1.005
0.275,-0.006,-0.018,1.002
0.281,-0.006,-0.018,1.005
0.281,-0.005,-0.014,1.002
0.281,-0.004,-0.012,1.003
0.289,-0.002,-0.009,1.000
0.290,-0.001,-0.005,1.002
0.290,0.001,-0.003,1.001
0.291,0.003,-0.001,1.002
0.293,0.007,-0.001,0.999
0.296,0.005,-0.000,1.000
0.298,0.006,-0.000,0.997
0.302,0.005,0.000,1.000
0.303,0.001,0.005,1.000
0.305,-0.010,0.014,0.995
0.308,-0.019,0.022,0.992
0.310,-0.019,0.012,0.996
0.313,-0.013,-0.003,1.001
0.315,-0.014,-0.027,1.012
0.317,-0.032,-0.039,1.005
0.320,-0.038,-0.058,1.018
0.322,-0.059,-0.044,1.006
0.325,-0.061,-0.026,0.995
0.327,-0.051,-0.021,0.997
0.329,-0.050,-0.018,1.004
0.332,-0.053,-0.018,0.999
0.336,-0.060,-0.012,1.000
0.337,-0.060,-0.018,1.003
0.339,-0.058,-0.017,1.003
0.341,-0.055,-0.019,1.001
0.344,-0.057,-0.017,0.999
0.346,-0.056,-0.014,0.998
